# Country Folk Indie Jazz Metal Pop Rock
0.00336 0.00000 0.00000 0.00000 0.00000 0.00000 0.99664
0.00000 0.00000 0.00000 0.00003 0.75915 0.00000 0.24081
0.99965 0.00000 0.00000 0.00026 0.00000 0.00000 0.00009
0.00000 0.00000 0.00000 0.00000 0.00000 0.00010 0.99990
0.00000 0.00175 0.99823 0.00001 0.00000 0.00000 0.00000
0.01906 0.00000 0.00000 0.00000 0.00000 0.00012 0.98081
1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
0.08915 0.00000 0.00000 0.00063 0.05360 0.05665 0.79997
0.00001 0.00000 0.00000 0.00000 0.00000 0.00000 0.99999
0.00036 0.00000 0.00000 0.00000 0.00039 0.00000 0.99925
0.00000 0.00000 0.00000 0.00000 1.00000 0.00000 0.00000
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
0.00001 0.00000 0.00000 0.00000 0.00012 0.00002 0.99985
0.99998 0.00000 0.00000 0.00000 0.00000 0.00000 0.00002
0.92408 0.00000 0.00000 0.00000 0.00000 0.00000 0.07592
0.00000 0.00000 0.00000 0.00000 0.00000 1.00000 0.00000
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
0.00000 0.00000 0.00000 0.00000 0.99997 0.00000 0.00003
0.00020 0.00000 0.00000 0.00000 0.00000 0.00000 0.99980
0.83179 0.00000 0.00000 0.00000 0.00000 0.00010 0.16811
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
0.48918 0.00000 0.00000 0.00000 0.00000 0.00000 0.51082
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
0.99999 0.00000 0.00000 0.00000 0.00000 0.00000 0.00001
0.00000 0.00000 0.00000 0.00057 0.15048 0.00084 0.84812
0.00002 0.00000 0.00000 0.99998 0.00000 0.00000 0.00000
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
0.00002 0.00000 0.00000 0.00000 0.00000 0.00000 0.99998
0.00115 0.00000 0.00000 0.00008 0.04837 0.32391 0.62650
0.00208 0.00000 0.00000 0.00000 0.00000 0.00000 0.99792
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
0.00000 0.00000 0.00000 0.00000 1.00000 0.00000 0.00000
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
0.00008 0.00000 0.00000 0.00001 0.00000 0.00000 0.99991
0.00000 0.00000 0.00000 0.00000 0.00000 1.00000 0.00000
0.99994 0.00000 0.00000 0.00000 0.00000 0.00000 0.00006
1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
0.00031 0.00000 0.00000 0.00000 0.00000 0.00000 0.99969
0.98539 0.00165 0.00045 0.01182 0.00000 0.00000 0.00068
0.03042 0.00000 0.00000 0.00000 0.00106 0.00000 0.96853
0.00000 0.00000 0.00000 0.00000 0.00329 0.00008 0.99663
0.00030 0.00000 0.00000 0.99969 0.00000 0.00000 0.00001
0.00016 0.00000 0.00000 0.00000 0.00000 0.00030 0.99954
1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
0.00000 0.00000 0.00000 0.00000 0.00000 1.00000 0.00000
0.00684 0.00000 0.00000 0.00001 0.00000 0.00000 0.99316
0.00000 0.00000 0.00000 0.00000 0.00000 1.00000 0.00000
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
0.00000 0.00000 0.00000 0.00000 0.00000 1.00000 0.00000
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
0.00000 0.00000 0.00000 0.00000 0.99582 0.00000 0.00418
0.00000 0.00000 0.00000 0.00000 0.00002 0.00842 0.99156
0.00791 0.00000 0.00000 0.00000 0.00000 0.00000 0.99209
1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
0.00014 0.00000 0.00000 0.94865 0.00000 0.00000 0.05120
0.00000 0.00000 0.00000 0.00000 1.00000 0.00000 0.00000
0.36820 0.00000 0.00000 0.19279 0.00000 0.00005 0.43896
0.00000 0.00000 0.00000 0.00000 0.00000 0.00110 0.99890
0.00013 0.00000 0.00000 0.00001 0.00000 0.00000 0.99986
0.00000 0.00000 0.00000 0.00000 0.14224 0.00000 0.85776
0.00547 0.00000 0.00000 0.00007 0.00019 0.00088 0.99339
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
0.05625 0.00000 0.00000 0.94374 0.00000 0.00000 0.00000
0.00000 0.00000 0.00000 0.00000 0.17703 0.00000 0.82297
0.07277 0.00000 0.00000 0.07085 0.00000 0.13080 0.72557
0.00000 0.00000 0.00000 0.00000 0.00000 0.00515 0.99485
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
0.00000 0.00000 0.00000 0.00000 0.00383 0.00000 0.99617
0.99800 0.00000 0.00000 0.00002 0.00000 0.00000 0.00198
1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
0.53581 0.00000 0.00000 0.00119 0.00000 0.00023 0.46277
0.00005 0.00000 0.00000 0.00000 0.00000 0.00000 0.99995
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
0.00000 0.00000 0.00000 0.00000 0.00000 0.00001 0.99999
0.00091 0.00000 0.00000 0.99808 0.00000 0.00000 0.00100
0.04210 0.00000 0.00000 0.00608 0.00000 0.00130 0.95053
0.99859 0.00000 0.00000 0.00000 0.00000 0.00000 0.00141
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
0.00000 0.00000 0.00000 0.00000 0.00000 1.00000 0.00000
0.00000 0.00000 0.00000 0.00000 0.00000 0.99949 0.00051
0.00001 0.00000 0.00000 0.00000 0.00000 0.00000 0.99999
0.02336 0.00000 0.00000 0.00000 0.00000 0.00000 0.97664
0.49423 0.00000 0.00000 0.00211 0.00000 0.03812 0.46555
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.99999
0.00225 0.00000 0.00000 0.00000 0.00000 0.00000 0.99775
0.28426 0.00000 0.00000 0.00000 0.00000 0.00000 0.71574
0.38373 0.00000 0.00000 0.01937 0.00000 0.00013 0.59677
