# Country Folk Indie Jazz Metal Pop Rock
0.05000 0.02000 0.02000 0.03333 0.04250 0.05000 0.78417
0.02000 0.00000 0.01000 0.03000 0.01000 0.02000 0.91000
0.06000 0.00000 0.00000 0.37548 0.01000 0.02000 0.53452
0.02000 0.00000 0.04000 0.02000 0.05000 0.17000 0.70000
0.05000 0.02000 0.03000 0.08583 0.03000 0.20917 0.57500
0.09000 0.00000 0.02000 0.06000 0.04000 0.12250 0.66750
1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
0.17000 0.00000 0.01000 0.06000 0.05000 0.15000 0.56000
0.07000 0.00000 0.00000 0.09000 0.08000 0.11000 0.65000
0.10000 0.01000 0.04000 0.06000 0.02000 0.29000 0.48000
0.07000 0.00000 0.01000 0.11000 0.07000 0.09000 0.65000
0.12000 0.06000 0.01000 0.08600 0.13000 0.16000 0.43400
0.11000 0.00000 0.00000 0.05900 0.06000 0.09100 0.68000
0.05000 0.00000 0.00000 0.09000 0.02000 0.06000 0.78000
0.96000 0.00000 0.00000 0.00000 0.00000 0.01000 0.03000
0.08000 0.02000 0.01000 0.05400 0.03000 0.19600 0.61000
0.00000 0.00000 0.00000 0.03500 0.00000 0.52500 0.44000
0.03000 0.00000 0.00000 0.07500 0.00000 0.65000 0.24500
0.06000 0.01000 0.01000 0.13000 0.17000 0.07000 0.55000
0.08308 0.00000 0.01000 0.05000 0.09154 0.24000 0.52538
0.09000 0.01000 0.00000 0.06000 0.07000 0.26000 0.51000
0.14000 0.02000 0.01000 0.04667 0.03000 0.11511 0.63822
0.00000 0.00000 0.00000 0.39050 0.00000 0.59950 0.01000
0.03000 0.01000 0.01000 0.04667 0.01000 0.06133 0.83200
0.23000 0.00000 0.00000 0.16667 0.08000 0.12833 0.39500
0.07000 0.01000 0.01000 0.06000 0.09000 0.19000 0.57000
0.05000 0.01000 0.00000 0.22640 0.03000 0.20179 0.48181
0.06000 0.01000 0.00000 0.02000 0.02000 0.12000 0.77000
0.06000 0.01000 0.01000 0.11000 0.05000 0.17000 0.59000
0.02000 0.00000 0.02000 0.07900 0.05000 0.13400 0.69700
0.12000 0.01000 0.03000 0.13833 0.02167 0.18500 0.49500
0.05000 0.03000 0.00000 0.04500 0.05125 0.09500 0.72875
0.00000 0.00000 0.00000 0.02000 0.00000 0.96000 0.02000
0.18500 0.04000 0.04000 0.08167 0.07000 0.16000 0.42333
0.14667 0.02500 0.00000 0.03000 0.03000 0.26000 0.50833
