# Country Folk Indie Jazz Metal Pop Rock
0.03969 0.00613 0.00774 0.02283 0.02522 0.47776 0.42064
0.02576 0.00530 0.00665 0.01719 0.02165 0.53224 0.39122
0.03024 0.00560 0.00703 0.02021 0.02375 0.50598 0.40718
0.04379 0.00630 0.00757 0.02379 0.02524 0.45871 0.43459
0.02589 0.00524 0.00676 0.01700 0.02174 0.53450 0.38887
0.02853 0.00535 0.00684 0.01830 0.02260 0.53197 0.38641
0.02873 0.00545 0.00710 0.01936 0.02334 0.52189 0.39413
0.03405 0.00586 0.00744 0.02384 0.02566 0.49085 0.41230
0.02572 0.00528 0.00666 0.01710 0.02201 0.54085 0.38239
0.03504 0.00594 0.00755 0.02458 0.02456 0.47597 0.42636
0.02695 0.00536 0.00678 0.01771 0.02203 0.53555 0.38562
0.03283 0.00581 0.00740 0.02287 0.02482 0.48872 0.41754
0.02686 0.00539 0.00674 0.01898 0.02237 0.53220 0.38746
0.02604 0.00536 0.00678 0.01814 0.02259 0.53167 0.38941
0.02970 0.00547 0.00691 0.01998 0.02315 0.51927 0.39552
0.03519 0.00575 0.00779 0.02144 0.02420 0.48643 0.41920
0.02663 0.00542 0.00686 0.01792 0.02176 0.52894 0.39247
0.03202 0.00561 0.00695 0.02220 0.02366 0.50080 0.40876
0.02534 0.00525 0.00663 0.01678 0.02143 0.54112 0.38346
0.04540 0.00677 0.00861 0.03257 0.02814 0.42315 0.45536
0.03306 0.00587 0.00714 0.02498 0.02468 0.47038 0.43389
0.03033 0.00554 0.00703 0.01979 0.02384 0.51036 0.40310
0.03644 0.00601 0.00764 0.02360 0.02489 0.47434 0.42708
0.03048 0.00556 0.00695 0.02085 0.02379 0.51243 0.39994
0.02732 0.00536 0.00660 0.01824 0.02195 0.52088 0.39965
0.02732 0.00538 0.00676 0.01851 0.02272 0.52831 0.39100
0.02771 0.00552 0.00697 0.01835 0.02237 0.52258 0.39650
0.03469 0.00573 0.00724 0.02213 0.02445 0.48650 0.41927
0.02648 0.00531 0.00665 0.01772 0.02219 0.53557 0.38607
0.02561 0.00529 0.00668 0.01684 0.02163 0.53907 0.38488
0.02815 0.00540 0.00671 0.01874 0.02291 0.52436 0.39374
0.03156 0.00563 0.00715 0.02193 0.02494 0.49673 0.41206
0.03831 0.00649 0.00892 0.02601 0.02480 0.44731 0.44816
0.02829 0.00537 0.00674 0.01864 0.02235 0.52573 0.39288
0.03653 0.00596 0.00740 0.02573 0.02625 0.45459 0.44355
0.02867 0.00551 0.00698 0.01892 0.02307 0.52175 0.39511
0.02858 0.00562 0.00694 0.01984 0.02210 0.51290 0.40402
0.02876 0.00543 0.00687 0.01872 0.02273 0.52123 0.39624
0.02868 0.00542 0.00692 0.01931 0.02315 0.52229 0.39424
0.03118 0.00556 0.00695 0.02052 0.02370 0.50691 0.40519
0.02529 0.00527 0.00667 0.01722 0.02168 0.53944 0.38442
0.02772 0.00541 0.00689 0.01875 0.02361 0.52450 0.39313
0.03018 0.00567 0.00706 0.02045 0.02336 0.50607 0.40720
0.02876 0.00552 0.00702 0.01909 0.02335 0.52235 0.39390
0.02802 0.00542 0.00692 0.01820 0.02266 0.52918 0.38961
0.02777 0.00542 0.00692 0.01945 0.02306 0.52321 0.39416
0.02822 0.00558 0.00707 0.01900 0.02208 0.51496 0.40309
0.02770 0.00533 0.00690 0.01862 0.02205 0.52624 0.39316
0.02575 0.00532 0.00675 0.01717 0.02148 0.53587 0.38765
0.03156 0.00561 0.00707 0.02194 0.02436 0.50133 0.40812
0.02607 0.00538 0.00681 0.01759 0.02158 0.52975 0.39282
0.03191 0.00569 0.00733 0.02274 0.02411 0.49368 0.41453
0.02776 0.00542 0.00677 0.01828 0.02229 0.52234 0.39713
0.02508 0.00526 0.00665 0.01666 0.02149 0.54044 0.38441
0.02554 0.00527 0.00667 0.01730 0.02156 0.53609 0.38757
0.03736 0.00611 0.00749 0.02599 0.02630 0.46875 0.42800
0.02872 0.00540 0.00676 0.01975 0.02261 0.51935 0.39740
0.02900 0.00554 0.00685 0.02057 0.02401 0.51512 0.39891
0.03231 0.00573 0.00719 0.02075 0.02385 0.50391 0.40626
0.02712 0.00532 0.00666 0.01747 0.02161 0.53403 0.38778
0.03085 0.00567 0.00707 0.02134 0.02362 0.51339 0.39807
0.03182 0.00579 0.00733 0.02193 0.02473 0.50435 0.40404
0.02823 0.00544 0.00696 0.01838 0.02312 0.51854 0.39932
0.02613 0.00528 0.00673 0.01693 0.02145 0.53954 0.38394
0.03269 0.00563 0.00742 0.02057 0.02377 0.51388 0.39604
0.02723 0.00539 0.00690 0.01810 0.02205 0.52761 0.39271
0.02668 0.00534 0.00668 0.01819 0.02256 0.52932 0.39123
0.02613 0.00530 0.00669 0.01743 0.02145 0.53812 0.38488
0.03514 0.00596 0.00699 0.02461 0.02337 0.49354 0.41038
0.03975 0.00639 0.00765 0.02703 0.02657 0.45849 0.43412
0.02571 0.00525 0.00669 0.01722 0.02171 0.53398 0.38943
0.02862 0.00548 0.00682 0.02029 0.02302 0.51180 0.40397
0.03517 0.00582 0.00757 0.02370 0.02535 0.49581 0.40657
0.03115 0.00560 0.00722 0.02085 0.02380 0.51570 0.39569
0.03084 0.00558 0.00693 0.01884 0.02245 0.51472 0.40064
0.02745 0.00535 0.00684 0.01859 0.02277 0.53017 0.38883
0.03392 0.00579 0.00736 0.02152 0.02532 0.48817 0.41793
0.03296 0.00568 0.00708 0.02189 0.02511 0.49158 0.41570
0.02562 0.00530 0.00673 0.01740 0.02162 0.53289 0.39045
0.02816 0.00546 0.00672 0.01973 0.02277 0.51054 0.40662
0.06070 0.00776 0.01049 0.04233 0.03123 0.34360 0.50390
0.03397 0.00593 0.00721 0.02602 0.02442 0.45351 0.44894
0.02628 0.00543 0.00687 0.01815 0.02170 0.52802 0.39355
0.06262 0.00766 0.00919 0.04629 0.03127 0.34242 0.50056
0.02749 0.00539 0.00682 0.01832 0.02240 0.52807 0.39151
0.03083 0.00565 0.00697 0.01972 0.02386 0.50817 0.40479
0.02964 0.00542 0.00696 0.01987 0.02307 0.50917 0.40587
0.04049 0.00626 0.00809 0.02971 0.02587 0.43061 0.45898
0.03309 0.00566 0.00716 0.02061 0.02360 0.50640 0.40349
0.03058 0.00566 0.00702 0.02171 0.02432 0.49070 0.41999
0.03624 0.00581 0.00766 0.02477 0.02613 0.48229 0.41711
0.02604 0.00529 0.00680 0.01742 0.02220 0.53503 0.38723
0.03370 0.00594 0.00749 0.02388 0.02606 0.48526 0.41766
0.02674 0.00532 0.00675 0.01724 0.02194 0.53662 0.38539
0.03269 0.00580 0.00733 0.02161 0.02492 0.50135 0.40629
0.03093 0.00576 0.00722 0.02250 0.02566 0.48641 0.42153
0.02791 0.00545 0.00684 0.01903 0.02165 0.51610 0.40303
0.03437 0.00580 0.00735 0.02265 0.02575 0.48359 0.42048
0.03124 0.00567 0.00730 0.02070 0.02411 0.50811 0.40288
0.02672 0.00538 0.00678 0.01846 0.02257 0.52203 0.39805
0.02897 0.00547 0.00693 0.01929 0.02326 0.51140 0.40469
0.03074 0.00568 0.00699 0.02090 0.02413 0.50377 0.40779
0.02542 0.00526 0.00666 0.01692 0.02156 0.54134 0.38285
0.02941 0.00560 0.00681 0.02113 0.02418 0.49546 0.41740
0.02769 0.00531 0.00666 0.01795 0.02187 0.53159 0.38892
0.03790 0.00628 0.00811 0.03014 0.02842 0.45514 0.43400
0.02636 0.00540 0.00677 0.01790 0.02248 0.52774 0.39334
0.02963 0.00548 0.00687 0.01983 0.02315 0.51226 0.40278
0.03833 0.00624 0.00796 0.02559 0.02598 0.46769 0.42820
0.02790 0.00543 0.00691 0.01875 0.02369 0.52961 0.38771
0.02674 0.00534 0.00677 0.01731 0.02157 0.53891 0.38337
0.03183 0.00567 0.00778 0.02140 0.02435 0.49222 0.41674
0.03711 0.00609 0.00772 0.02829 0.02597 0.46517 0.42964
