# Country Folk Indie Jazz Metal Pop Rock
0.09226 0.00746 0.00196 0.01037 0.00108 0.02843 0.85845
0.31571 0.00976 0.00771 0.01470 0.00448 0.01848 0.62917
0.13411 0.00286 0.00956 0.44571 0.00262 0.16677 0.23837
0.01801 0.01618 0.00602 0.66616 0.00705 0.13654 0.15004
0.05812 0.01529 0.04591 0.26888 0.25077 0.06863 0.29241
0.12884 0.05577 0.05587 0.16153 0.04035 0.25780 0.29985
0.03542 0.00619 0.01686 0.00673 0.00429 0.52410 0.40642
0.05657 0.01462 0.02836 0.50522 0.04787 0.16065 0.18673
0.01427 0.00027 0.00419 0.02935 0.02684 0.30432 0.62076
0.17289 0.00036 0.01834 0.02242 0.00118 0.29495 0.48985
0.01247 0.00049 0.00018 0.00648 0.03277 0.55623 0.39137
0.00388 0.00401 0.00327 0.01402 0.02755 0.49984 0.44742
0.00030 0.00015 0.00103 0.00584 0.17877 0.61650 0.19740
0.05883 0.00003 0.00408 0.00009 0.12099 0.39816 0.41781
0.00026 0.00022 0.01827 0.00003 0.71316 0.00078 0.26727
0.20332 0.01226 0.01170 0.02238 0.00083 0.07928 0.67023
0.30481 0.01415 0.07380 0.31234 0.01119 0.08090 0.20282
0.00207 0.00336 0.00186 0.00112 0.88564 0.02847 0.07748
0.18448 0.00657 0.10435 0.17781 0.02115 0.23280 0.27284
0.04124 0.00000 0.00008 0.54998 0.00002 0.31163 0.09705
0.07337 0.03517 0.07019 0.04474 0.08881 0.20965 0.47807
0.05975 0.00221 0.00872 0.02614 0.02300 0.30232 0.57786
0.08459 0.12998 0.03843 0.32312 0.05186 0.20456 0.16746
0.08276 0.03398 0.02107 0.01682 0.44083 0.02476 0.37979
0.05388 0.00008 0.00660 0.03412 0.01285 0.42860 0.46387
0.12978 0.00220 0.01699 0.06317 0.03733 0.42438 0.32614
0.28349 0.00964 0.02497 0.05513 0.01801 0.12177 0.48698
0.06874 0.00776 0.01241 0.62744 0.00289 0.19956 0.08120
0.04639 0.04046 0.03910 0.07576 0.07979 0.09811 0.62039
0.02435 0.16324 0.02092 0.15390 0.20146 0.17474 0.26140
0.07728 0.02150 0.02322 0.46995 0.01342 0.26461 0.13001
0.07498 0.07083 0.07604 0.14329 0.17109 0.24929 0.21449
0.09468 0.00113 0.01122 0.29302 0.00527 0.40775 0.18693
0.01026 0.00467 0.01530 0.01677 0.06417 0.27243 0.61640
0.18189 0.00273 0.00159 0.04718 0.04125 0.13548 0.58988
0.02033 0.02347 0.06304 0.02097 0.00423 0.00303 0.86494
