# Country Folk Indie Jazz Metal Pop Rock
0.12894 0.07781 0.08365 0.11945 0.03039 0.41315 0.14660
0.25459 0.06386 0.09166 0.18991 0.06760 0.20446 0.12792
0.09648 0.69503 0.03371 0.03901 0.05342 0.04708 0.03526
0.06700 0.33965 0.16950 0.15575 0.10542 0.06546 0.09721
0.08283 0.14986 0.19794 0.09746 0.20448 0.14162 0.12581
0.02263 0.03106 0.02614 0.01649 0.77012 0.03310 0.10044
0.20375 0.10006 0.27002 0.18826 0.03020 0.11978 0.08791
0.24628 0.12503 0.26500 0.10797 0.01791 0.12404 0.11378
0.33779 0.08245 0.21478 0.04342 0.02009 0.21104 0.09043
0.03173 0.39680 0.07783 0.12254 0.24065 0.03511 0.09533
0.06539 0.18029 0.08684 0.04012 0.04670 0.31665 0.26402
0.17961 0.16000 0.20998 0.01591 0.08955 0.14849 0.19646
0.10542 0.06435 0.36549 0.04637 0.05787 0.20449 0.15601
0.03590 0.22752 0.08772 0.51214 0.03336 0.04796 0.05539
0.11149 0.07761 0.39296 0.07845 0.01702 0.23887 0.08361
0.15101 0.03929 0.06555 0.20009 0.01704 0.26035 0.26667
0.02388 0.06913 0.03660 0.05640 0.27592 0.28014 0.25793
0.08791 0.07422 0.26067 0.04246 0.17880 0.14553 0.21041
0.20344 0.07172 0.11620 0.09936 0.21565 0.13638 0.15725
0.11056 0.03918 0.12427 0.07393 0.01913 0.54016 0.09277
0.22200 0.14639 0.11456 0.12442 0.02982 0.23333 0.12948
0.10560 0.17919 0.20905 0.28389 0.08233 0.05429 0.08565
0.25477 0.09152 0.11985 0.08850 0.06372 0.22093 0.16070
0.08643 0.13041 0.25729 0.13917 0.07750 0.13894 0.17026
0.09052 0.07255 0.21226 0.06251 0.34183 0.07217 0.14817
0.06299 0.20573 0.17675 0.08533 0.20459 0.03555 0.22907
0.20396 0.05350 0.09907 0.07360 0.32144 0.16594 0.08249
0.04467 0.10310 0.12402 0.03360 0.53685 0.03629 0.12147
0.13196 0.11946 0.27971 0.04095 0.01037 0.29846 0.11908
0.56382 0.09927 0.04555 0.14611 0.02513 0.07765 0.04246
0.03143 0.37749 0.08796 0.08951 0.14445 0.19549 0.07368
0.10546 0.13670 0.11232 0.16855 0.02599 0.31993 0.13105
0.07214 0.12326 0.13509 0.02884 0.42555 0.11305 0.10208
0.17817 0.08954 0.13293 0.14604 0.01445 0.28779 0.15109
0.25207 0.04532 0.04421 0.49135 0.01891 0.04766 0.10049
0.01333 0.04711 0.05945 0.10911 0.02589 0.66207 0.08304
0.25340 0.05858 0.05749 0.20638 0.01116 0.21521 0.19778
0.06117 0.26685 0.10525 0.28230 0.01991 0.18111 0.08341
0.03173 0.39680 0.07783 0.12254 0.24065 0.03511 0.09533
0.27323 0.04913 0.19301 0.13877 0.02216 0.17633 0.14736
0.12945 0.13728 0.13033 0.13709 0.08765 0.09339 0.28481
0.03994 0.08440 0.06366 0.10924 0.05620 0.57697 0.06959
0.11363 0.26107 0.15914 0.20746 0.06738 0.14043 0.05090
0.06615 0.20947 0.12659 0.04394 0.24361 0.06996 0.24029
0.17035 0.08106 0.18112 0.05219 0.04981 0.20074 0.26473
0.07610 0.27826 0.08439 0.39564 0.03319 0.03394 0.09848
0.05701 0.12427 0.31946 0.04648 0.02176 0.30696 0.12405
