# Country Folk Indie Jazz Metal Pop Rock
0.16000 0.07000 0.16000 0.18000 0.01000 0.31000 0.11000
0.22000 0.20000 0.17000 0.10000 0.11000 0.13000 0.07000
0.11000 0.37000 0.04000 0.10000 0.27000 0.04000 0.07000
0.07000 0.13666 0.10276 0.05225 0.24711 0.08678 0.30443
0.10000 0.19227 0.20023 0.13023 0.12091 0.12068 0.13568
0.07000 0.07000 0.10000 0.01000 0.62000 0.03000 0.10000
0.66000 0.05000 0.08000 0.01000 0.05000 0.04000 0.11000
0.33000 0.09000 0.12000 0.16000 0.02000 0.11000 0.17000
0.13000 0.06000 0.21000 0.10000 0.04000 0.24000 0.22000
0.02558 0.40291 0.08117 0.12632 0.23996 0.03268 0.09137
0.15000 0.10000 0.14000 0.12000 0.09000 0.21000 0.19000
0.15000 0.18000 0.16000 0.09000 0.11000 0.15000 0.16000
0.14000 0.09000 0.20000 0.25000 0.04000 0.15000 0.13000
0.17000 0.12000 0.11000 0.34000 0.04000 0.10000 0.12000
0.12000 0.13000 0.20000 0.17000 0.11000 0.12000 0.15000
0.19000 0.11000 0.10000 0.14000 0.06000 0.28000 0.12000
0.01000 0.08156 0.06022 0.10022 0.29178 0.24133 0.21489
0.10000 0.13000 0.16000 0.16000 0.20000 0.10000 0.15000
0.21000 0.08000 0.16000 0.16500 0.16000 0.10000 0.12500
0.18000 0.04000 0.13000 0.20000 0.07000 0.28000 0.10000
0.28000 0.08000 0.15000 0.17000 0.05000 0.12000 0.15000
0.10000 0.20179 0.25034 0.26041 0.06794 0.06106 0.05845
0.13000 0.11000 0.17000 0.10000 0.19000 0.13000 0.17000
0.17000 0.16000 0.11000 0.20000 0.08000 0.12000 0.16000
0.03000 0.04000 0.19000 0.10000 0.36000 0.13000 0.15000
0.12000 0.10000 0.22000 0.08000 0.21000 0.13000 0.14000
0.15000 0.04000 0.21000 0.10000 0.21000 0.17000 0.12000
0.08000 0.19000 0.11000 0.09000 0.35000 0.05000 0.13000
0.15000 0.09000 0.10000 0.12000 0.04000 0.34000 0.16000
0.36000 0.01000 0.11000 0.16000 0.06000 0.14000 0.16000
0.00000 0.30000 0.10000 0.04000 0.11000 0.26000 0.19000
0.16000 0.02000 0.15000 0.29000 0.06000 0.17000 0.15000
0.09000 0.13323 0.13000 0.06065 0.38097 0.06161 0.14355
0.13000 0.10000 0.09000 0.16000 0.15000 0.15000 0.22000
0.23000 0.05000 0.11000 0.41000 0.06000 0.05000 0.09000
0.11000 0.02000 0.09000 0.16000 0.05000 0.39000 0.18000
0.28000 0.05000 0.05000 0.29000 0.04000 0.14000 0.15000
0.14000 0.20000 0.17000 0.25000 0.02000 0.08000 0.14000
0.02558 0.40291 0.08117 0.12632 0.23996 0.03268 0.09137
0.37667 0.04000 0.07000 0.15333 0.04000 0.12000 0.20000
0.18000 0.16000 0.16000 0.15000 0.07000 0.08000 0.20000
0.08000 0.09000 0.16000 0.19000 0.05000 0.27000 0.16000
0.01000 0.24949 0.19042 0.10220 0.08338 0.09340 0.27111
0.07000 0.11354 0.21000 0.14021 0.19146 0.09000 0.18479
0.17000 0.13000 0.16000 0.10000 0.06000 0.28000 0.10000
0.15000 0.14000 0.11000 0.39000 0.03000 0.08000 0.10000
0.14000 0.07000 0.21000 0.07500 0.04000 0.26500 0.20000
0.10000 0.03500 0.09000 0.12500 0.02000 0.48000 0.15000
0.16000 0.35000 0.11000 0.09000 0.16000 0.05000 0.08000
0.13000 0.29000 0.21000 0.05000 0.14000 0.04000 0.14000
0.30000 0.09000 0.10000 0.06000 0.04000 0.24000 0.17000
0.10000 0.15000 0.19000 0.17000 0.10000 0.14000 0.15000
0.14000 0.11000 0.10000 0.11000 0.37000 0.06000 0.11000
0.14000 0.07000 0.17000 0.19000 0.05000 0.18000 0.20000
