# Country Folk Indie Jazz Metal Pop Rock
0.02502 0.32005 0.05853 0.11125 0.12368 0.19514 0.16632
0.02579 0.32370 0.05992 0.11347 0.11862 0.19134 0.16716
0.02596 0.30404 0.06238 0.11646 0.12332 0.19652 0.17133
0.02920 0.29421 0.06195 0.12303 0.12458 0.19302 0.17400
0.02235 0.31793 0.06233 0.11260 0.12667 0.18981 0.16831
0.02138 0.31441 0.06186 0.11326 0.12374 0.19539 0.16995
0.02544 0.31641 0.06100 0.11766 0.11963 0.19043 0.16942
0.02467 0.31190 0.06012 0.11704 0.12397 0.19043 0.17186
0.02466 0.31860 0.06261 0.11642 0.11868 0.18948 0.16953
0.07839 0.16354 0.12988 0.13392 0.15911 0.17539 0.15977
0.02625 0.31317 0.06558 0.11827 0.11472 0.19171 0.17030
0.02246 0.32423 0.05806 0.10860 0.12010 0.19740 0.16914
0.02365 0.31170 0.06300 0.11272 0.12339 0.19761 0.16793
0.02344 0.31450 0.05912 0.11176 0.12542 0.19665 0.16911
0.02572 0.32065 0.05944 0.11178 0.12536 0.19012 0.16693
0.02655 0.31101 0.06489 0.11773 0.11955 0.19235 0.16792
0.03029 0.27526 0.07171 0.12217 0.13671 0.19621 0.16764
0.02620 0.31000 0.06495 0.11649 0.12209 0.19023 0.17004
0.02518 0.30835 0.06090 0.11030 0.13508 0.19309 0.16711
0.02776 0.32017 0.05914 0.11302 0.11796 0.19448 0.16748
0.02545 0.31571 0.06415 0.11471 0.12011 0.19199 0.16787
0.02412 0.31314 0.05943 0.11194 0.12222 0.19800 0.17114
0.02550 0.31617 0.06365 0.11259 0.11607 0.19672 0.16930
0.02475 0.31206 0.06139 0.11494 0.12266 0.19421 0.17000
0.02708 0.30745 0.06355 0.11529 0.11588 0.20033 0.17043
0.02114 0.31713 0.06061 0.11199 0.11910 0.19811 0.17192
0.02597 0.31843 0.06066 0.12192 0.11606 0.18436 0.17259
0.02413 0.30798 0.06096 0.11584 0.12448 0.19299 0.17362
0.02890 0.31117 0.06156 0.11384 0.11865 0.19624 0.16964
0.02511 0.31198 0.06195 0.11415 0.12183 0.19364 0.17134
0.03521 0.26453 0.08328 0.12381 0.13107 0.20088 0.16123
0.02404 0.31686 0.06052 0.11462 0.11927 0.19211 0.17256
0.02394 0.31435 0.05722 0.11460 0.12001 0.19542 0.17446
0.02706 0.31426 0.06060 0.11223 0.12119 0.19475 0.16991
0.02888 0.29549 0.06131 0.11824 0.13270 0.19443 0.16895
0.03423 0.30250 0.07137 0.11878 0.11946 0.18607 0.16759
0.03029 0.30425 0.06722 0.11816 0.11691 0.19624 0.16693
0.02615 0.30209 0.06756 0.11882 0.12547 0.19352 0.16639
0.07437 0.17883 0.12791 0.12819 0.14998 0.17986 0.16086
0.02798 0.31379 0.06410 0.11415 0.11725 0.19489 0.16782
0.02340 0.31911 0.06284 0.11188 0.12305 0.19198 0.16773
0.02563 0.30919 0.06230 0.12077 0.12142 0.19087 0.16982
0.05808 0.20487 0.10757 0.15233 0.11404 0.20009 0.16302
0.02314 0.31066 0.06164 0.11411 0.11990 0.19987 0.17068
0.02445 0.31942 0.05920 0.11260 0.11886 0.19508 0.17039
0.02388 0.31890 0.05985 0.11346 0.12253 0.19270 0.16867
0.02624 0.31971 0.06393 0.11472 0.11087 0.19845 0.16608
0.02690 0.31688 0.06526 0.11259 0.12119 0.19128 0.16589
0.02273 0.31513 0.05820 0.11456 0.12241 0.19548 0.17149
0.02524 0.31165 0.06083 0.11509 0.12386 0.19311 0.17020
0.02728 0.31287 0.06021 0.11705 0.12622 0.19123 0.16513
0.02358 0.31376 0.06125 0.11353 0.12446 0.19507 0.16835
0.02311 0.31636 0.06091 0.11168 0.12240 0.19554 0.17000
0.02523 0.31760 0.06131 0.11476 0.12440 0.18590 0.17079
0.02136 0.32812 0.06279 0.11295 0.11961 0.18705 0.16811
0.02681 0.30090 0.06135 0.11279 0.13523 0.19225 0.17067
0.02928 0.31340 0.06657 0.11795 0.11766 0.18982 0.16533
0.02344 0.31832 0.05996 0.10975 0.12270 0.19483 0.17100
0.02454 0.32175 0.05962 0.11579 0.11904 0.19113 0.16814
0.03053 0.26954 0.07792 0.13041 0.12828 0.19734 0.16598
0.02543 0.32748 0.06329 0.11282 0.11935 0.18598 0.16565
0.02662 0.31617 0.05845 0.11255 0.11989 0.19575 0.17057
0.03014 0.30089 0.06128 0.11746 0.12490 0.19328 0.17205
0.02287 0.32510 0.06130 0.11465 0.12103 0.18561 0.16943
0.02620 0.31289 0.06235 0.11748 0.12327 0.18837 0.16945
0.02620 0.32134 0.05868 0.11451 0.12278 0.18781 0.16868
