# Country Folk Indie Jazz Metal Pop Rock
0.41162 0.00238 0.00005 0.00766 0.01456 0.08927 0.47446
0.12232 0.00000 0.00000 0.01082 0.00005 0.80005 0.06676
0.00192 0.00000 0.00000 0.00000 0.00001 0.00089 0.99719
0.01045 0.00062 0.00059 0.00022 0.02180 0.02387 0.94246
0.73004 0.00579 0.00007 0.00724 0.01259 0.07376 0.17051
0.00052 0.00003 0.00000 0.00023 0.01340 0.00053 0.98529
0.04529 0.00013 0.00000 0.00053 0.00284 0.15727 0.79394
0.00001 0.00000 0.00000 0.00037 0.00017 0.99935 0.00010
0.00001 0.00000 0.00000 0.00006 0.00000 0.99946 0.00047
0.59098 0.04130 0.00008 0.08429 0.07357 0.19082 0.01896
0.99797 0.00012 0.00000 0.00012 0.00000 0.00011 0.00168
0.00001 0.00000 0.00000 0.00000 0.00001 0.00000 0.99998
0.52547 0.06008 0.00000 0.00040 0.00002 0.03088 0.38315
0.02849 0.00001 0.00000 0.00075 0.00001 0.29267 0.67806
0.02478 0.00002 0.00000 0.00056 0.00003 0.48773 0.48689
0.11814 0.00001 0.00000 0.00053 0.00039 0.77182 0.10911
0.00408 0.00006 0.00000 0.00021 0.00001 0.00017 0.99548
0.12721 0.00003 0.00000 0.00012 0.00004 0.00347 0.86912
0.00136 0.00000 0.00000 0.00003 0.00012 0.26439 0.73410
0.34304 0.02413 0.00022 0.39579 0.00702 0.17925 0.05055
0.00358 0.00021 0.00002 0.00012 0.00064 0.00140 0.99404
0.00258 0.00016 0.00000 0.96659 0.00002 0.00715 0.02349
0.00247 0.00000 0.00000 0.00003 0.00002 0.17972 0.81775
0.00014 0.00000 0.00000 0.00000 0.00000 0.00000 0.99985
0.00384 0.00000 0.00000 0.00001 0.00000 0.00014 0.99600
0.98360 0.00003 0.00000 0.00015 0.00001 0.00071 0.01549
0.20537 0.00003 0.00000 0.00008 0.00004 0.04521 0.74928
0.00000 0.00000 0.00000 0.00000 0.99994 0.00001 0.00005
0.00004 0.00000 0.00000 0.00001 0.00001 0.00012 0.99983
