# Country Folk Indie Jazz Metal Pop Rock
0.01107 0.28256 0.01116 0.04052 0.00159 0.58507 0.06802
0.00662 0.04846 0.14835 0.09200 0.00946 0.65430 0.04081
0.00001 0.99977 0.00000 0.00006 0.00001 0.00014 0.00001
0.01341 0.23483 0.08609 0.05068 0.21470 0.15099 0.24931
0.00328 0.21684 0.01853 0.06063 0.10533 0.09729 0.49810
0.00000 0.00023 0.00000 0.00013 0.99919 0.00018 0.00027
0.02729 0.06683 0.11104 0.22392 0.00221 0.51285 0.05587
0.00430 0.90096 0.03335 0.01297 0.00024 0.02399 0.02419
0.01043 0.03125 0.29915 0.03349 0.04638 0.48023 0.09908
0.03288 0.24827 0.08665 0.10121 0.23899 0.06814 0.22386
0.00077 0.00040 0.00955 0.01124 0.00005 0.97759 0.00040
0.00445 0.10149 0.45023 0.00973 0.00270 0.40096 0.03044
0.00513 0.00559 0.06049 0.03041 0.00017 0.88381 0.01440
0.00487 0.05254 0.00483 0.05451 0.00090 0.86099 0.02136
0.00625 0.64654 0.02774 0.01294 0.00524 0.23645 0.06484
0.10601 0.01822 0.03692 0.54888 0.00252 0.19157 0.09589
0.01179 0.00165 0.02748 0.03788 0.00012 0.88607 0.03502
0.00259 0.76654 0.01121 0.00995 0.00185 0.18045 0.02741
0.07867 0.17372 0.40729 0.01126 0.01239 0.10178 0.21489
0.10390 0.05899 0.03767 0.27405 0.00230 0.39529 0.12781
0.00984 0.77611 0.00824 0.14624 0.00021 0.04781 0.01155
0.05646 0.02698 0.62134 0.04251 0.00810 0.07641 0.16820
0.07629 0.42203 0.21524 0.08583 0.00484 0.04869 0.14708
0.00129 0.20594 0.46758 0.00380 0.00088 0.21450 0.10602
0.00030 0.10121 0.00180 0.00710 0.79503 0.03296 0.06158
0.02191 0.13248 0.48508 0.00537 0.00028 0.01291 0.34197
0.01356 0.06410 0.06993 0.18026 0.01216 0.60454 0.05544
0.00927 0.83206 0.00508 0.04336 0.00898 0.04003 0.06123
0.00117 0.29165 0.00100 0.11415 0.00019 0.58819 0.00366
0.15742 0.14231 0.06515 0.30234 0.00127 0.23266 0.09885
0.00012 0.61750 0.02122 0.00115 0.00014 0.35837 0.00151
0.01749 0.10954 0.00353 0.67397 0.00223 0.14505 0.04819
0.04929 0.14301 0.03541 0.05321 0.10186 0.39790 0.21933
0.11986 0.07751 0.07558 0.31283 0.00088 0.28634 0.12700
0.27742 0.01941 0.01422 0.54962 0.00037 0.08074 0.05823
0.00412 0.00325 0.04044 0.11209 0.00036 0.83611 0.00363
0.16002 0.01340 0.03598 0.26849 0.00997 0.33789 0.17425
0.02142 0.02603 0.00233 0.77364 0.00041 0.15717 0.01900
0.03288 0.24827 0.08665 0.10121 0.23899 0.06814 0.22386
0.00633 0.81059 0.13945 0.00164 0.00023 0.00487 0.03690
0.00706 0.02796 0.90062 0.00186 0.00045 0.03837 0.02368
0.00016 0.00192 0.00137 0.00904 0.00039 0.98572 0.00140
0.03288 0.24827 0.08665 0.10121 0.23899 0.06814 0.22386
0.00257 0.23984 0.00332 0.00476 0.67099 0.03679 0.04174
0.01505 0.09497 0.09101 0.08110 0.00520 0.65925 0.05342
0.00558 0.01221 0.01085 0.54175 0.00024 0.42161 0.00776
0.00040 0.00115 0.00508 0.03147 0.00033 0.95967 0.00191
0.06452 0.00560 0.09533 0.16681 0.00050 0.63117 0.03607
0.00015 0.99826 0.00088 0.00004 0.00000 0.00044 0.00023
0.13287 0.82248 0.01989 0.00029 0.00015 0.00504 0.01928
0.01229 0.50864 0.03149 0.01428 0.01161 0.18576 0.23592
0.02271 0.01622 0.13332 0.07692 0.00011 0.73649 0.01422
0.00019 0.03563 0.00082 0.01288 0.77963 0.12593 0.04492
0.06387 0.18449 0.01709 0.10181 0.00116 0.53540 0.09618
0.02070 0.27607 0.32082 0.07865 0.01343 0.09325 0.19709
0.01549 0.50580 0.00163 0.20280 0.09664 0.11832 0.05931
0.00004 0.00022 0.00196 0.01189 0.00031 0.98486 0.00072
0.00755 0.11262 0.15836 0.09581 0.00522 0.52489 0.09556
0.04018 0.00936 0.03014 0.51192 0.00108 0.40125 0.00608
0.00186 0.96137 0.00033 0.01243 0.00364 0.00809 0.01229
0.08032 0.08305 0.19742 0.07331 0.02237 0.30570 0.23783
