# Country Folk Indie Jazz Metal Pop Rock
0.57874 0.00153 0.00176 0.00570 0.01258 0.02453 0.37517
0.00081 0.00013 0.00023 0.00052 0.00021 0.00313 0.99496
0.75578 0.00002 0.00002 0.01153 0.00039 0.00448 0.22778
0.04229 0.00151 0.05154 0.00196 0.13231 0.28501 0.48539
0.73342 0.00066 0.00036 0.06692 0.00001 0.05428 0.14434
0.70280 0.00066 0.00085 0.00503 0.00030 0.02771 0.26265
0.99584 0.00003 0.00000 0.00087 0.00009 0.00037 0.00281
0.08326 0.00227 0.00012 0.00875 0.00266 0.02881 0.87413
0.19613 0.00294 0.00423 0.09646 0.08693 0.34157 0.27174
0.03888 0.00008 0.00071 0.01293 0.00087 0.61636 0.33017
0.62820 0.08898 0.02835 0.02884 0.00010 0.03345 0.19209
0.00008 0.00074 0.00590 0.00003 0.00045 0.00271 0.99009
0.00899 0.00001 0.00103 0.00031 0.04491 0.00832 0.93642
0.00013 0.00000 0.00008 0.00021 0.00298 0.00521 0.99139
0.99102 0.00000 0.00001 0.00011 0.00002 0.00137 0.00747
0.51154 0.00002 0.00000 0.00084 0.00003 0.01982 0.46776
0.00022 0.00007 0.00114 0.00094 0.00110 0.01165 0.98488
0.00152 0.01130 0.00750 0.00460 0.01800 0.06817 0.88891
0.00011 0.00226 0.23365 0.00013 0.66025 0.01960 0.08401
0.15371 0.00000 0.00000 0.00158 0.00019 0.01592 0.82859
0.03287 0.00172 0.00040 0.05819 0.00002 0.89616 0.01063
0.00600 0.00004 0.00040 0.00052 0.00062 0.01411 0.97830
0.00006 0.00222 0.00042 0.00565 0.01481 0.97218 0.00466
0.00003 0.00000 0.00007 0.00001 0.00001 0.00016 0.99971
0.79092 0.00009 0.00008 0.00882 0.00003 0.13104 0.06902
0.00270 0.00001 0.00015 0.12812 0.00071 0.76255 0.10576
0.01124 0.04224 0.36019 0.01710 0.11468 0.27368 0.18086
0.02936 0.00033 0.00005 0.00646 0.00550 0.08492 0.87338
0.00037 0.00005 0.00068 0.00003 0.00039 0.04205 0.95643
0.00025 0.00001 0.00229 0.00010 0.00750 0.20835 0.78152
0.18676 0.00100 0.00055 0.00933 0.00099 0.01147 0.78990
0.01426 0.00732 0.02255 0.00431 0.00260 0.04416 0.90481
0.00580 0.00002 0.00001 0.03758 0.00316 0.85793 0.09549
0.00391 0.00463 0.00041 0.00575 0.00289 0.00042 0.98199
0.33067 0.00020 0.00000 0.00388 0.00004 0.10010 0.56511
0.05057 0.00000 0.00008 0.00049 0.00020 0.00713 0.94154
0.00357 0.00016 0.00253 0.01915 0.00587 0.87428 0.09443
0.99763 0.00025 0.00000 0.00006 0.00003 0.00003 0.00199
0.79682 0.00003 0.00003 0.01335 0.00063 0.04126 0.14787
0.00392 0.00087 0.00053 0.00280 0.01174 0.01131 0.96883
0.00021 0.00221 0.05554 0.00106 0.64557 0.05030 0.24511
0.00437 0.00034 0.00020 0.00060 0.40815 0.00705 0.57929
0.00003 0.00001 0.00006 0.00085 0.00010 0.99817 0.00079
0.29912 0.00030 0.00105 0.58769 0.00009 0.04433 0.06742
0.00012 0.00000 0.00015 0.00029 0.00041 0.00158 0.99743
0.54306 0.02705 0.00032 0.33442 0.00116 0.01185 0.08214
0.00010 0.00034 0.00025 0.00195 0.88467 0.00186 0.11084
0.11582 0.00402 0.00009 0.14521 0.00002 0.17285 0.56199
0.00017 0.00001 0.00002 0.00194 0.02430 0.00178 0.97177
0.42207 0.00299 0.03717 0.03237 0.02208 0.09026 0.39306
0.00011 0.00001 0.00002 0.00051 0.00410 0.00331 0.99194
0.02226 0.00002 0.00002 0.01287 0.00156 0.12209 0.84118
0.00089 0.00222 0.00427 0.00589 0.00101 0.05249 0.93322
0.00017 0.00001 0.00571 0.00013 0.88892 0.00119 0.10386
0.00212 0.00009 0.00121 0.00244 0.00135 0.43706 0.55572
0.01240 0.00912 0.00016 0.12661 0.06998 0.47079 0.31093
0.06826 0.00074 0.00008 0.06203 0.02349 0.12896 0.71645
0.00065 0.00005 0.00002 0.98358 0.00004 0.01047 0.00518
0.00004 0.00062 0.00008 0.00003 0.99752 0.00007 0.00165
0.45736 0.00124 0.00083 0.30155 0.00106 0.03804 0.19991
0.00279 0.00034 0.00018 0.01703 0.00994 0.76870 0.20102
0.00026 0.00002 0.00001 0.00006 0.05495 0.00119 0.94352
0.00068 0.00001 0.00042 0.00022 0.00752 0.03729 0.95386
0.00052 0.00004 0.00352 0.00175 0.36480 0.00764 0.62174
0.03594 0.00074 0.00646 0.00821 0.00152 0.79202 0.15512
0.87974 0.00006 0.00002 0.07346 0.00015 0.02997 0.01660
0.00014 0.00001 0.00295 0.00007 0.00391 0.03925 0.95367
0.00122 0.00016 0.09566 0.00022 0.00439 0.01195 0.88640
0.01297 0.00331 0.00022 0.17503 0.01733 0.20797 0.58318
0.00007 0.00009 0.00004 0.00028 0.00161 0.97444 0.02346
0.00211 0.00016 0.02594 0.00152 0.01355 0.85399 0.10273
0.31054 0.00001 0.00000 0.56713 0.00036 0.10357 0.01839
0.03488 0.00018 0.00007 0.07556 0.02365 0.16595 0.69972
0.00057 0.00093 0.00149 0.00235 0.01173 0.01572 0.96720
0.48089 0.00118 0.00068 0.01449 0.00111 0.41552 0.08613
0.04159 0.00003 0.00271 0.00662 0.00471 0.05037 0.89397
0.01279 0.00088 0.00043 0.00664 0.01065 0.13314 0.83547
0.00021 0.00012 0.00024 0.00679 0.03730 0.93091 0.02443
0.02252 0.00098 0.00141 0.87788 0.00187 0.06327 0.03207
0.13175 0.00317 0.00965 0.11459 0.00009 0.23358 0.50717
0.00278 0.00683 0.00085 0.06250 0.00200 0.88847 0.03657
0.15692 0.00075 0.00008 0.00801 0.52509 0.00832 0.30083
0.04782 0.00004 0.00039 0.26855 0.00077 0.18843 0.49399
0.00014 0.00085 0.00003 0.46291 0.00149 0.52262 0.01196
0.03052 0.03967 0.00094 0.00853 0.00300 0.03124 0.88611
0.35723 0.00018 0.00011 0.01364 0.00007 0.06833 0.56044
0.65403 0.00015 0.00010 0.01001 0.00050 0.03591 0.29930
0.01858 0.00014 0.00010 0.00787 0.00033 0.67794 0.29503
0.00099 0.00236 0.00002 0.01709 0.01539 0.76408 0.20008
0.37661 0.00147 0.02731 0.00256 0.00009 0.02016 0.57181
0.21544 0.00033 0.00026 0.01607 0.00136 0.03618 0.73034
0.36674 0.00183 0.00114 0.01039 0.00398 0.02867 0.58725
0.03125 0.00033 0.00040 0.03408 0.00922 0.70725 0.21748
0.00000 0.00001 0.00000 0.00000 0.99670 0.00003 0.00325
0.03477 0.00010 0.00020 0.54807 0.00005 0.28761 0.12920
0.00019 0.00039 0.00034 0.00395 0.00181 0.78673 0.20659
0.00001 0.00000 0.00014 0.00000 0.00626 0.00004 0.99355
0.00007 0.00001 0.00009 0.00054 0.39638 0.00582 0.59710
0.00000 0.00000 0.00000 0.00000 0.99942 0.00001 0.00058
0.03318 0.00462 0.00974 0.00540 0.06230 0.07078 0.81398
0.08201 0.00388 0.00141 0.35570 0.02264 0.31327 0.22110
0.00053 0.00025 0.00013 0.00885 0.00203 0.12257 0.86563
0.00426 0.00058 0.00136 0.98883 0.00005 0.00257 0.00234
0.01169 0.00003 0.00022 0.00782 0.00222 0.01045 0.96756
0.00821 0.00032 0.00060 0.00641 0.00095 0.14953 0.83398
0.00022 0.00008 0.00106 0.00049 0.24738 0.00268 0.74809
0.00000 0.00000 0.00000 0.00000 0.99898 0.00000 0.00102
0.01283 0.00059 0.00004 0.81676 0.00030 0.10612 0.06335
0.00001 0.00001 0.00001 0.00027 0.00001 0.99965 0.00003
0.00008 0.00011 0.00062 0.00018 0.00991 0.00036 0.98875
0.97982 0.00015 0.00002 0.00277 0.00000 0.00510 0.01214
0.25334 0.00013 0.00006 0.53788 0.00032 0.03099 0.17728
0.03237 0.00020 0.00941 0.00687 0.00624 0.28734 0.65757
0.04668 0.14114 0.02409 0.18029 0.00507 0.06862 0.53410
0.00025 0.00001 0.00001 0.00031 0.00190 0.00176 0.99576
0.00064 0.00000 0.00005 0.00045 0.00131 0.04758 0.94997
0.00013 0.00037 0.00056 0.00033 0.00053 0.01468 0.98341
0.00234 0.00002 0.00003 0.00004 0.00034 0.00003 0.99720
0.01366 0.00016 0.00489 0.02414 0.02011 0.18377 0.75328
0.00774 0.05515 0.00001 0.11255 0.00014 0.77149 0.05293
0.00131 0.00060 0.00009 0.00777 0.36444 0.02009 0.60569
0.00054 0.00137 0.00026 0.00385 0.00395 0.96333 0.02671
0.04509 0.00000 0.00003 0.00195 0.00066 0.00239 0.94987
0.13180 0.03448 0.07600 0.02656 0.00241 0.11751 0.61123
0.00013 0.00002 0.00012 0.00080 0.00144 0.00203 0.99545
0.00132 0.01128 0.00094 0.00205 0.12049 0.00110 0.86282
0.00075 0.00044 0.00003 0.00025 0.04476 0.00160 0.95217
0.02577 0.00001 0.00002 0.00130 0.00224 0.00799 0.96266
0.00846 0.00779 0.00364 0.03770 0.00051 0.09168 0.85022
0.00101 0.00413 0.08871 0.00177 0.00078 0.03908 0.86452
0.36870 0.00002 0.00000 0.02788 0.00008 0.15533 0.44798
0.00009 0.00028 0.00047 0.00003 0.00002 0.00628 0.99284
0.70400 0.00307 0.00177 0.00699 0.00066 0.01735 0.26616
0.00218 0.00519 0.01074 0.00169 0.00454 0.67685 0.29882
0.00127 0.00004 0.00005 0.97678 0.00003 0.01681 0.00502
0.23842 0.00057 0.00029 0.29269 0.00007 0.40416 0.06380
0.91281 0.01156 0.00927 0.00060 0.00003 0.00120 0.06452
0.00296 0.00000 0.00001 0.00000 0.00119 0.00019 0.99564
0.00034 0.00002 0.00028 0.00036 0.11068 0.06527 0.82306
0.00003 0.00002 0.00743 0.00073 0.51170 0.08287 0.39722
0.00356 0.02619 0.00593 0.00188 0.16171 0.04069 0.76003
0.00146 0.00021 0.01635 0.00005 0.00772 0.25683 0.71738
0.00424 0.00158 0.00022 0.03801 0.01240 0.03886 0.90468
0.98562 0.00002 0.00000 0.00924 0.00000 0.00102 0.00409
0.66514 0.00001 0.00002 0.00232 0.00655 0.06856 0.25739
0.00949 0.00206 0.00014 0.05063 0.00087 0.33051 0.60630
0.03714 0.00047 0.00071 0.01730 0.08424 0.12887 0.73128
0.05159 0.00031 0.00028 0.22165 0.00739 0.33342 0.38536
0.00157 0.00347 0.03128 0.00087 0.00497 0.06701 0.89082
0.41494 0.00048 0.00005 0.34571 0.00048 0.08392 0.15443
0.20255 0.00147 0.00328 0.00515 0.00008 0.31359 0.47388
0.00200 0.00023 0.00007 0.07154 0.00029 0.92237 0.00350
0.00272 0.00004 0.00189 0.00534 0.08921 0.01118 0.88962
0.31263 0.00048 0.00053 0.15987 0.00440 0.25950 0.26259
0.00698 0.00080 0.00052 0.97808 0.00014 0.00420 0.00928
0.76231 0.00002 0.00000 0.01185 0.00010 0.01316 0.21255
0.00005 0.00000 0.00000 0.00002 0.00311 0.00014 0.99668
0.09205 0.00803 0.00092 0.00717 0.15575 0.00561 0.73048
0.00004 0.00000 0.00000 0.00411 0.00015 0.99484 0.00086
0.00141 0.00126 0.00070 0.00072 0.00225 0.72140 0.27226
0.00096 0.00121 0.00005 0.01799 0.01472 0.95314 0.01192
0.17412 0.00732 0.00045 0.19177 0.00932 0.05840 0.55863
0.02816 0.00150 0.00017 0.29697 0.00021 0.10418 0.56881
0.00000 0.00000 0.00001 0.00000 0.99872 0.00001 0.00126
0.00016 0.00037 0.00276 0.00021 0.19841 0.00174 0.79635
0.17698 0.00212 0.00030 0.43797 0.00377 0.09307 0.28579
0.62648 0.00008 0.00002 0.27239 0.00027 0.01073 0.09003
0.00226 0.00003 0.00002 0.00158 0.02002 0.01550 0.96058
0.04040 0.00035 0.00118 0.01522 0.01003 0.35055 0.58226
0.09469 0.00134 0.02656 0.02492 0.03025 0.01089 0.81134
0.00508 0.00009 0.00001 0.63508 0.00001 0.30379 0.05595
0.00209 0.00006 0.00022 0.00401 0.10329 0.02736 0.86298
0.00855 0.00000 0.00001 0.00052 0.00163 0.00194 0.98735
0.66612 0.00005 0.00001 0.01061 0.00032 0.01693 0.30594
0.99359 0.00002 0.00003 0.00106 0.00003 0.00051 0.00476
0.00000 0.00000 0.00001 0.00000 0.99930 0.00003 0.00066
0.01190 0.00001 0.00002 0.00122 0.00050 0.00671 0.97964
0.00075 0.00032 0.00422 0.00127 0.24351 0.01363 0.73631
0.00001 0.00002 0.00001 0.00004 0.99880 0.00026 0.00087
0.00310 0.00020 0.00024 0.02983 0.02948 0.06232 0.87482
0.00092 0.00718 0.26650 0.00002 0.51758 0.00056 0.20724
0.00005 0.00002 0.00004 0.00034 0.00002 0.99883 0.00071
0.01826 0.00008 0.00054 0.00148 0.01579 0.01148 0.95238
0.06108 0.00069 0.01880 0.00706 0.00530 0.64184 0.26522
0.00737 0.00018 0.00012 0.02952 0.00274 0.10337 0.85671
0.00200 0.00007 0.00003 0.00022 0.00190 0.00083 0.99496
0.00000 0.00001 0.00002 0.00000 0.99984 0.00006 0.00007
0.02906 0.00208 0.00022 0.22767 0.01107 0.19607 0.53382
0.00003 0.00001 0.00224 0.00001 0.50343 0.00130 0.49297
0.10060 0.00009 0.00041 0.02406 0.04440 0.02318 0.80728
0.00061 0.00136 0.00001 0.01955 0.04138 0.00348 0.93360
0.69140 0.00016 0.00005 0.00230 0.00197 0.00984 0.29428
0.19025 0.00060 0.00003 0.17097 0.00001 0.40817 0.22998
0.00029 0.00463 0.07604 0.00328 0.00715 0.88974 0.01886
0.00017 0.00000 0.00000 0.03345 0.00097 0.11741 0.84801
0.00921 0.00000 0.00004 0.00021 0.00309 0.00657 0.98088
0.01057 0.00005 0.01251 0.00022 0.02772 0.00497 0.94397
0.94962 0.02037 0.00030 0.00476 0.00003 0.00193 0.02299
0.01504 0.00028 0.00180 0.01711 0.00627 0.04562 0.91388
0.01971 0.00059 0.00003 0.06605 0.00292 0.01489 0.89581
0.27990 0.00020 0.00441 0.01820 0.00019 0.58716 0.10994
0.05758 0.00626 0.01028 0.01037 0.64432 0.02043 0.25076
0.01523 0.10216 0.00438 0.01572 0.00155 0.03161 0.82935
0.02052 0.41771 0.00002 0.00465 0.01171 0.00271 0.54268
0.07012 0.00375 0.02506 0.09046 0.00153 0.11644 0.69264
0.00065 0.00007 0.00050 0.00030 0.00034 0.98950 0.00863
0.08000 0.00063 0.00096 0.08861 0.00437 0.50290 0.32252
0.00001 0.00053 0.00222 0.00006 0.20888 0.00046 0.78784
0.00044 0.00042 0.08417 0.00136 0.01271 0.13128 0.76961
0.98189 0.00000 0.00000 0.00014 0.00005 0.00018 0.01773
0.04841 0.01659 0.01170 0.00949 0.00565 0.05034 0.85783
0.91190 0.00012 0.00000 0.00179 0.00066 0.00327 0.08226
0.87238 0.00001 0.00001 0.08787 0.00003 0.02289 0.01681
0.03894 0.01032 0.00278 0.00921 0.00253 0.17358 0.76264
0.00929 0.00023 0.00001 0.50374 0.00002 0.34160 0.14511
