# Country Folk Indie Jazz Metal Pop Rock
0.02035 0.22960 0.00149 0.04015 0.53375 0.14230 0.03235
0.02782 0.16071 0.04046 0.02843 0.16066 0.34201 0.23991
0.00148 0.99815 0.00012 0.00002 0.00001 0.00010 0.00011
0.03462 0.28859 0.14610 0.06583 0.00711 0.34579 0.11196
0.10745 0.03498 0.05116 0.07665 0.09768 0.05776 0.57431
0.00004 0.00057 0.00000 0.00077 0.98144 0.00038 0.01679
0.72346 0.00877 0.00457 0.01332 0.00202 0.01296 0.23490
0.00502 0.02159 0.00303 0.05150 0.00061 0.89462 0.02363
0.00726 0.01195 0.17196 0.00488 0.09257 0.61043 0.10095
0.02964 0.32594 0.07566 0.10703 0.28561 0.03553 0.14059
0.00057 0.00683 0.04432 0.00072 0.00253 0.93879 0.00625
0.01017 0.41069 0.01733 0.00231 0.38401 0.01757 0.15793
0.00026 0.00039 0.00160 0.00539 0.00024 0.97471 0.01742
0.02295 0.00366 0.00249 0.91616 0.00020 0.03219 0.02234
0.50619 0.03779 0.17984 0.00284 0.00902 0.02372 0.24061
0.55204 0.00081 0.00224 0.00468 0.00032 0.00702 0.43288
0.00116 0.00089 0.07183 0.02320 0.10153 0.66161 0.13977
0.00054 0.04089 0.78099 0.00012 0.00109 0.01364 0.16273
0.03410 0.09346 0.02060 0.00755 0.30541 0.05809 0.48079
0.41043 0.01090 0.04309 0.10460 0.00671 0.04500 0.37926
0.52087 0.00399 0.03771 0.00144 0.00950 0.00529 0.42120
0.08496 0.56299 0.30682 0.01064 0.00041 0.02865 0.00553
0.00350 0.00126 0.00079 0.00555 0.03348 0.00547 0.94994
0.00002 0.00025 0.99938 0.00000 0.00001 0.00010 0.00024
0.00001 0.00012 0.00000 0.00004 0.99913 0.00011 0.00059
0.10744 0.17160 0.02010 0.16048 0.04120 0.01343 0.48575
0.00289 0.04669 0.02666 0.03454 0.21382 0.01748 0.65791
0.00007 0.00193 0.00000 0.00002 0.99742 0.00008 0.00047
0.05004 0.14710 0.07777 0.41881 0.00857 0.24702 0.05069
0.95686 0.00446 0.00021 0.00847 0.00007 0.00128 0.02865
0.00016 0.98026 0.00545 0.00004 0.00817 0.00053 0.00539
0.09589 0.16311 0.01009 0.07466 0.06118 0.18347 0.41158
0.00046 0.00116 0.00016 0.00251 0.98723 0.00107 0.00741
0.65167 0.02900 0.06325 0.07106 0.00070 0.11121 0.07311
