# Country Folk Indie Jazz Metal Pop Rock
0.00048 0.00043 0.00426 0.00023 0.00640 0.01253 0.99793
0.00001 0.00003 0.00042 0.00000 0.00393 0.00181 0.99955
0.00025 0.00028 0.00408 0.00014 0.00504 0.01155 0.99852
0.11436 0.00505 0.01066 0.01177 0.00235 0.04729 0.98311
0.00003 0.00005 0.00320 0.00002 0.00150 0.00740 0.99970
0.00000 0.00000 0.00000 0.00000 0.99998 0.00000 0.00098
0.00000 0.00001 0.00049 0.00000 0.00154 0.00180 0.99981
0.00002 0.00012 0.00492 0.00004 0.00628 0.01185 0.99828
0.00052 0.00151 0.01720 0.00085 0.02422 0.04147 0.98619
0.01479 0.16617 0.11191 0.25124 0.21246 0.23610 0.28038
0.02079 0.01233 0.05005 0.01819 0.03440 0.12372 0.94164
0.00000 0.00000 0.00019 0.00000 0.00093 0.00077 0.99987
0.00032 0.00089 0.02279 0.00058 0.01467 0.05135 0.99111
0.02293 0.00437 0.03363 0.02827 0.01047 0.75733 0.81624
0.12279 0.11018 0.02638 0.84518 0.00342 0.15609 0.19242
0.01858 0.00716 0.03121 0.05514 0.02133 0.94720 0.33017
0.00000 0.00000 0.00000 0.00000 1.00000 0.00000 0.00000
0.00000 0.00000 0.00000 0.00000 0.99838 0.00004 0.01400
0.29065 0.01246 0.03029 0.07962 0.00349 0.19745 0.91304
0.04439 0.00579 0.02978 0.05420 0.00937 0.84563 0.63335
0.02018 0.00264 0.01998 0.03083 0.00653 0.90209 0.62836
0.00357 0.00242 0.02136 0.00238 0.01332 0.04866 0.99096
0.01842 0.00768 0.02898 0.07027 0.01868 0.95481 0.28527
0.00266 0.01478 0.07709 0.00883 0.10469 0.17927 0.85124
0.17913 0.03372 0.05625 0.24662 0.01315 0.55085 0.58249
0.13852 0.00353 0.02275 0.03240 0.00156 0.23168 0.97044
0.01876 0.00463 0.04898 0.01224 0.01001 0.19846 0.97539
0.00529 0.01012 0.01246 0.00472 0.10710 0.04197 0.93169
0.00005 0.00011 0.00264 0.00181 0.00629 0.99911 0.10729
0.00838 0.00266 0.01622 0.03187 0.01471 0.98312 0.24377
0.00499 0.03795 0.01829 0.01236 0.50710 0.08192 0.48464
0.04255 0.04213 0.07747 0.25150 0.03222 0.81079 0.34065
0.08516 0.06538 0.03816 0.76626 0.00603 0.39684 0.23664
0.00001 0.00001 0.00039 0.00119 0.00114 0.99998 0.04059
0.80065 0.03040 0.00325 0.33316 0.00031 0.07474 0.23870
0.00000 0.00001 0.00029 0.00000 0.00222 0.00120 0.99981
0.87593 0.01787 0.00338 0.09141 0.00052 0.07362 0.43244
0.05171 0.01071 0.05603 0.03481 0.01424 0.25158 0.93694
0.06068 0.28019 0.09571 0.90226 0.01534 0.16544 0.17390
0.00000 0.00000 0.00000 0.00000 1.00000 0.00000 0.00000
0.01709 0.00946 0.04669 0.01264 0.02667 0.10350 0.96692
0.00030 0.00019 0.00657 0.00015 0.00201 0.01457 0.99934
0.95180 0.01172 0.00093 0.06196 0.00011 0.04162 0.32788
0.01340 0.00503 0.03266 0.00781 0.01309 0.08007 0.98287
0.00000 0.00000 0.00204 0.00000 0.00354 0.02944 0.99417
0.00000 0.00000 0.00000 0.00000 1.00000 0.00000 0.00005
0.00000 0.00000 0.00000 0.00000 0.00000 1.00000 0.00008
0.00014 0.00042 0.01015 0.00020 0.00956 0.02308 0.99635
0.00004 0.01935 0.00050 0.00199 0.94516 0.00824 0.05815
0.05617 0.03268 0.09670 0.07557 0.04727 0.36352 0.81285
0.00016 0.00616 0.00657 0.00097 0.48990 0.03834 0.60082
0.00310 0.00157 0.03406 0.00259 0.00752 0.11021 0.99105
0.01726 0.00574 0.05344 0.01403 0.01427 0.22908 0.96370
0.00000 0.00000 0.00000 0.00000 1.00000 0.00000 0.00000
