# Country Folk Indie Jazz Metal Pop Rock
0.00211 0.00001 0.02816 0.00001 0.00768 0.00326 0.95877
0.00095 0.00333 0.10137 0.00050 0.32973 0.07818 0.48593
0.05208 0.00002 0.00004 0.56945 0.00070 0.09855 0.27917
0.00005 0.00000 0.04694 0.00002 0.09409 0.05004 0.80886
0.00584 0.00039 0.00000 0.59822 0.00001 0.34634 0.04921
0.37718 0.01824 0.00716 0.18344 0.02031 0.23083 0.16284
0.89280 0.00002 0.00000 0.00311 0.00172 0.00245 0.09990
0.00175 0.00000 0.00001 0.00003 0.04668 0.04147 0.91005
0.00125 0.00000 0.00000 0.40251 0.00001 0.14656 0.44966
0.03674 0.00004 0.00058 0.14660 0.01277 0.23207 0.57119
0.00281 0.70332 0.00995 0.01110 0.00120 0.11220 0.15943
0.00002 0.00476 0.34642 0.00005 0.25735 0.00702 0.38438
0.15909 0.00774 0.02566 0.02239 0.04607 0.29353 0.44553
0.04163 0.00038 0.00023 0.00115 0.00315 0.00419 0.94927
0.96350 0.00000 0.00000 0.02013 0.00000 0.00147 0.01489
0.88145 0.00004 0.00000 0.02149 0.00003 0.00518 0.09180
0.01902 0.00000 0.00000 0.00083 0.00134 0.02810 0.95071
0.00318 0.00267 0.00202 0.06767 0.04659 0.63987 0.23800
0.00089 0.00269 0.14624 0.00001 0.46124 0.01718 0.37176
0.47049 0.00014 0.00008 0.02967 0.02387 0.08038 0.39537
0.01297 0.00148 0.00090 0.03946 0.03102 0.77262 0.14155
0.00066 0.00438 0.00777 0.03504 0.00112 0.39461 0.55644
0.00076 0.00000 0.00000 0.24864 0.00072 0.72218 0.02770
0.00005 0.00000 0.00000 0.00000 0.00011 0.00036 0.99948
0.79706 0.00000 0.00000 0.19523 0.00000 0.00220 0.00551
0.00499 0.01040 0.11184 0.04188 0.02094 0.23423 0.57573
0.00189 0.00001 0.00039 0.04947 0.00106 0.64433 0.30285
0.05049 0.00002 0.00005 0.00111 0.00419 0.19772 0.74643
0.00438 0.00062 0.00529 0.00887 0.00163 0.04244 0.93677
0.02401 0.02823 0.13509 0.00422 0.28923 0.08260 0.43663
