# Country Folk Indie Jazz Metal Pop Rock
0.22499 0.00485 0.00127 0.00829 0.01752 0.02216 0.72092
0.00016 0.00028 0.00684 0.00016 0.53687 0.01272 0.44297
0.56107 0.00209 0.00048 0.01526 0.00333 0.02059 0.39718
0.00212 0.00033 0.00127 0.00118 0.25712 0.44293 0.29505
0.00022 0.00000 0.00017 0.00050 0.00225 0.01091 0.98594
0.35739 0.00758 0.01347 0.13197 0.00917 0.13231 0.34810
0.90266 0.00002 0.00000 0.01379 0.00003 0.00224 0.08127
0.04121 0.00247 0.00485 0.01386 0.05162 0.20350 0.68249
0.14785 0.02362 0.05521 0.19957 0.07144 0.22513 0.27717
0.15368 0.00418 0.01463 0.03002 0.02158 0.32757 0.44833
0.08060 0.37061 0.35763 0.02448 0.00254 0.06293 0.10119
0.00000 0.00001 0.00010 0.00000 0.06470 0.01322 0.92197
0.00054 0.00001 0.00009 0.00040 0.02042 0.02315 0.95539
0.00025 0.00005 0.00064 0.00021 0.07697 0.00953 0.91234
0.85953 0.00348 0.00172 0.03825 0.00343 0.02366 0.06993
0.47009 0.00035 0.00010 0.06664 0.00149 0.05931 0.40203
0.00001 0.00000 0.00000 0.00000 0.02229 0.00082 0.97687
0.09614 0.01992 0.01660 0.08005 0.04560 0.51081 0.23088
0.00000 0.00000 0.00060 0.00000 0.88564 0.00429 0.10947
0.19388 0.00304 0.00187 0.13639 0.01574 0.23395 0.41513
0.01630 0.00520 0.00035 0.78739 0.00022 0.17933 0.01121
0.03765 0.00098 0.00017 0.07160 0.00050 0.37934 0.50975
0.05544 0.06792 0.05318 0.12818 0.04678 0.44597 0.20253
0.00339 0.00023 0.00172 0.00021 0.00129 0.01696 0.97620
0.93011 0.00000 0.00000 0.05343 0.00000 0.00066 0.01580
0.00024 0.00012 0.00191 0.00357 0.10903 0.30062 0.58450
0.00000 0.00000 0.00000 0.00030 0.00000 0.08775 0.91194
0.02681 0.00084 0.00113 0.01585 0.00978 0.47267 0.47292
0.10864 0.08574 0.10591 0.00787 0.02119 0.09870 0.57195
0.07327 0.04348 0.27657 0.03752 0.21295 0.11350 0.24271
0.26910 0.01234 0.00532 0.18060 0.00843 0.18017 0.34404
0.09904 0.15428 0.10237 0.01116 0.10344 0.15383 0.37588
0.21135 0.00851 0.01019 0.10439 0.04935 0.27676 0.33945
0.05084 0.10533 0.00661 0.17047 0.00029 0.29667 0.36979
0.23115 0.00468 0.00588 0.04868 0.00995 0.23062 0.46905
0.08986 0.00004 0.00001 0.01008 0.00084 0.05703 0.84215
0.00000 0.00000 0.00000 0.00004 0.00000 0.85136 0.14860
0.56999 0.00070 0.00011 0.02734 0.00169 0.02346 0.37671
