# Country Folk Indie Jazz Metal Pop Rock
0.98831 0.00838 0.00062 0.04299 0.00397 0.07781 0.99985
0.13231 0.09827 0.14064 0.08233 0.17677 0.24015 0.93238
0.99733 0.00400 0.00015 0.06016 0.00178 0.06486 0.99981
0.00627 0.00257 0.01283 0.00500 0.02591 0.37250 0.97489
0.18839 0.03236 0.05421 0.35767 0.19208 0.26464 0.76785
0.79197 0.02243 0.00942 0.40624 0.02944 0.22759 0.94612
1.00000 0.00001 0.00000 0.00020 0.00000 0.00168 1.00000
0.00000 0.00000 0.00000 0.00000 0.00003 0.00014 1.00000
0.18839 0.03236 0.05421 0.35767 0.19208 0.26464 0.76785
0.06137 0.00912 0.01596 0.04618 0.02405 0.58578 0.95073
0.54956 0.03827 0.02134 0.70231 0.03558 0.28790 0.60450
0.00000 0.00000 0.00001 0.00000 0.00088 0.00003 1.00000
0.27764 0.04156 0.05763 0.29107 0.14634 0.25592 0.87203
0.18839 0.03236 0.05421 0.35767 0.19208 0.26464 0.76785
0.77903 0.13599 0.05342 0.32062 0.10320 0.28364 0.91459
0.00342 0.00021 0.00151 0.00004 0.00420 0.00976 1.00000
0.00000 0.00000 0.00000 0.00000 0.00000 0.85135 0.99672
0.01312 0.00347 0.00579 0.00641 0.00652 0.76948 0.97249
0.18839 0.03236 0.05421 0.35767 0.19208 0.26464 0.76785
0.01414 0.00862 0.03151 0.00454 0.09175 0.06910 0.99413
0.00010 0.00000 0.00001 0.01177 0.00002 0.99993 0.04004
0.05974 0.01207 0.02185 0.08086 0.04006 0.68486 0.86514
0.00829 0.00008 0.00011 0.35103 0.00042 0.99475 0.12786
0.00073 0.00049 0.00581 0.00011 0.01637 0.01803 0.99964
0.18839 0.03236 0.05421 0.35767 0.19208 0.26464 0.76785
0.00318 0.00058 0.00204 0.00267 0.00383 0.81999 0.97559
0.18839 0.03236 0.05421 0.35767 0.19208 0.26464 0.76785
0.02870 0.00252 0.00345 0.04514 0.00671 0.93536 0.81821
0.93293 0.12798 0.01730 0.25859 0.05071 0.21938 0.93501
0.18839 0.03236 0.05421 0.35767 0.19208 0.26464 0.76785
0.74723 0.06773 0.02266 0.56515 0.05360 0.26755 0.74301
0.00000 0.00001 0.00019 0.00000 0.00063 0.09766 0.99463
0.26688 0.03372 0.04917 0.33400 0.13930 0.26416 0.85284
0.00000 0.00000 0.00000 0.00000 0.00001 0.00003 1.00000
0.55605 0.04556 0.02797 0.20327 0.04666 0.30663 0.97750
0.99869 0.00254 0.00006 0.02249 0.00093 0.04083 0.99998
