# Country Folk Indie Jazz Metal Pop Rock
0.00002 0.00014 0.00017 0.00015 0.82763 0.00152 0.20213
0.00004 0.00111 0.00019 0.00178 0.00036 0.09966 0.11443
0.09110 0.00047 0.00047 0.00390 0.00480 0.11372 0.26025
0.00506 0.00030 0.00130 0.00477 0.00215 0.53024 0.05454
0.00293 0.00073 0.00007 0.00086 0.00762 0.04498 0.47675
0.00008 0.00005 0.00017 0.00008 0.29003 0.02572 0.32592
0.00008 0.00000 0.00000 0.00001 0.00003 0.03409 0.43305
0.00068 0.00000 0.00000 0.00000 0.00000 0.34594 0.02492
0.00000 0.00000 0.00000 0.00000 0.00008 0.00177 0.76193
0.00507 0.00800 0.00019 0.00619 0.00012 0.01181 0.22757
0.00123 0.00000 0.00000 0.00001 0.00000 0.00081 0.70942
0.00000 0.00002 0.00001 0.00001 0.00390 0.00000 0.85179
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01366
0.00001 0.00000 0.00001 0.00001 0.00307 0.36834 0.07628
0.02725 0.00020 0.00014 0.00027 0.00012 0.04654 0.19066
0.00000 0.00000 0.00000 0.00001 0.00030 0.00586 0.57320
0.00772 0.00010 0.00002 0.00000 0.00017 0.00002 0.38655
0.00595 0.00064 0.03101 0.00126 0.00079 0.07057 0.18535
0.04406 0.00110 0.00007 0.02830 0.00072 0.01431 0.33792
0.00251 0.03512 0.00290 0.00036 0.01439 0.02589 0.11533
0.00062 0.00025 0.00112 0.00028 0.06769 0.01495 0.40088
0.04905 0.00133 0.00015 0.03084 0.00263 0.17775 0.18389
0.02023 0.00039 0.00014 0.00072 0.00037 0.11471 0.25627
0.01947 0.02670 0.00374 0.01085 0.02282 0.01463 0.28233
0.00029 0.00000 0.00000 0.00002 0.00009 0.00083 0.80381
0.82147 0.00000 0.00000 0.00001 0.00000 0.00216 0.02071
0.02619 0.00276 0.01405 0.00651 0.02918 0.18411 0.21691
0.00000 0.00000 0.00000 0.00000 0.99824 0.00003 0.00726
0.05579 0.06231 0.00025 0.00181 0.00094 0.00827 0.12611
0.00064 0.00016 0.00014 0.00023 0.00071 0.24894 0.24718
0.00003 0.00024 0.00849 0.00006 0.19077 0.00121 0.54568
0.00126 0.00001 0.00002 0.00002 0.00017 0.00052 0.54863
0.00618 0.00175 0.00220 0.15718 0.00465 0.05783 0.36576
0.00294 0.00023 0.00013 0.00004 0.00014 0.03569 0.10243
0.16720 0.00450 0.00017 0.00444 0.00023 0.07852 0.06042
0.00429 0.00511 0.00280 0.00203 0.75813 0.03722 0.14805
0.11042 0.04142 0.00775 0.09773 0.01330 0.09323 0.18161
0.63264 0.00011 0.00001 0.00376 0.00007 0.00106 0.16531
0.01369 0.00613 0.00582 0.01290 0.00191 0.05069 0.27917
0.00029 0.00059 0.01385 0.00354 0.00096 0.02398 0.22640
0.00022 0.00273 0.00240 0.00029 0.06722 0.00814 0.25479
0.18763 0.00116 0.00092 0.02416 0.00190 0.03487 0.08518
0.00000 0.00000 0.00000 0.00000 0.00000 0.25721 0.00369
0.05644 0.01099 0.01524 0.01065 0.04063 0.03044 0.29603
0.00244 0.00247 0.00189 0.00055 0.00126 0.02209 0.39663
0.00052 0.00169 0.00027 0.00036 0.63221 0.01363 0.17087
0.00003 0.00001 0.00032 0.00003 0.01846 0.00895 0.44420
0.10512 0.05453 0.00411 0.03209 0.01302 0.07800 0.15644
0.00023 0.00001 0.00002 0.00177 0.00005 0.03418 0.63360
0.00000 0.00000 0.00001 0.00002 0.00000 0.13174 0.01682
0.00000 0.00000 0.00017 0.00000 0.01204 0.00000 0.55473
0.00000 0.00000 0.00000 0.00000 0.17905 0.00903 0.27254
0.00091 0.00007 0.00034 0.00008 0.00213 0.01195 0.57469
0.02659 0.00000 0.00000 0.00104 0.00008 0.00687 0.28964
0.00000 0.00000 0.00001 0.00000 0.00000 0.02791 0.06492
0.00000 0.00000 0.00000 0.00002 0.00000 0.85895 0.00323
0.00405 0.00000 0.00000 0.00004 0.00004 0.00454 0.45118
0.00000 0.00000 0.00001 0.00000 0.02638 0.00012 0.59875
0.00445 0.00054 0.00023 0.12907 0.00740 0.08286 0.04037
0.01841 0.00377 0.02833 0.00557 0.16959 0.03871 0.21550
0.05727 0.02944 0.00060 0.00258 0.03469 0.01877 0.18241
