# Country Folk Indie Jazz Metal Pop Rock
0.14518 0.01658 0.03180 0.44340 0.00386 0.26318 0.09600
0.01998 0.00023 0.01030 0.02700 0.00030 0.18306 0.75913
0.00005 0.99985 0.00000 0.00001 0.00002 0.00002 0.00005
0.02797 0.12744 0.08514 0.04447 0.14903 0.32619 0.23976
0.00000 0.00000 0.12633 0.00000 0.01861 0.00008 0.85498
0.00000 0.00005 0.00000 0.00002 0.99678 0.00011 0.00304
0.94873 0.00011 0.00160 0.03872 0.00004 0.00450 0.00630
0.55180 0.00197 0.01900 0.13233 0.00000 0.27832 0.01657
0.00006 0.00131 0.14531 0.00021 0.00323 0.80645 0.04344
0.05028 0.35323 0.07527 0.10492 0.22137 0.06796 0.12696
0.00019 0.00190 0.13503 0.00110 0.02487 0.16641 0.67051
0.26485 0.02623 0.24059 0.01914 0.00041 0.26097 0.18781
0.00211 0.00016 0.96253 0.00118 0.00001 0.02541 0.00860
0.00342 0.00002 0.00001 0.98063 0.00000 0.00515 0.01076
0.38454 0.00853 0.06245 0.26240 0.00008 0.06020 0.22179
0.01698 0.00046 0.02012 0.05625 0.00849 0.80298 0.09473
0.00195 0.00004 0.16668 0.03828 0.03400 0.38199 0.37706
0.00031 0.00425 0.76519 0.00003 0.00013 0.15770 0.07239
0.00005 0.04225 0.28535 0.00037 0.00038 0.00366 0.66793
0.81430 0.02071 0.00226 0.06662 0.00004 0.04212 0.05396
0.99953 0.00001 0.00000 0.00029 0.00000 0.00006 0.00011
0.02287 0.00059 0.95371 0.00122 0.00002 0.00923 0.01237
0.00006 0.00098 0.94815 0.00015 0.00002 0.00970 0.04093
0.00000 0.42131 0.05415 0.00000 0.00368 0.00283 0.51803
0.00005 0.00016 0.00001 0.00001 0.86106 0.00002 0.13870
0.00013 0.30452 0.03687 0.00018 0.00002 0.00122 0.65707
0.00208 0.01326 0.02793 0.01011 0.01581 0.17446 0.75635
0.00003 0.00263 0.00005 0.00023 0.99030 0.00042 0.00634
0.00149 0.00055 0.00202 0.02368 0.00007 0.96899 0.00319
0.98766 0.00008 0.00001 0.00629 0.00000 0.00025 0.00570
0.00058 0.33582 0.00019 0.55412 0.04827 0.01848 0.04254
0.14669 0.00090 0.06107 0.62237 0.00121 0.16035 0.00741
0.00267 0.00068 0.00332 0.00127 0.79567 0.18336 0.01302
0.53914 0.00168 0.02571 0.10475 0.00023 0.24700 0.08148
0.12245 0.00568 0.01566 0.41125 0.00012 0.01054 0.43430
0.01605 0.00007 0.00357 0.16669 0.00164 0.78861 0.02337
0.77909 0.00174 0.01764 0.03328 0.00005 0.01524 0.15297
0.16590 0.00685 0.00127 0.67049 0.00008 0.12954 0.02587
0.05028 0.35323 0.07527 0.10492 0.22137 0.06796 0.12696
0.95841 0.00204 0.00197 0.00533 0.00000 0.00021 0.03203
0.00036 0.00195 0.20659 0.00091 0.00064 0.71891 0.07065
0.00022 0.00026 0.07752 0.00055 0.00485 0.79514 0.12147
0.02240 0.58266 0.00284 0.10494 0.01088 0.02342 0.25285
0.00016 0.00747 0.01489 0.00092 0.39661 0.00290 0.57705
0.00921 0.00057 0.35981 0.00075 0.00013 0.60285 0.02667
0.07192 0.05070 0.00466 0.43322 0.00014 0.43268 0.00667
0.00569 0.00002 0.00361 0.31092 0.00014 0.67773 0.00189
0.01154 0.00022 0.04031 0.00346 0.00031 0.92443 0.01973
0.31608 0.67841 0.00003 0.00541 0.00000 0.00003 0.00004
0.00132 0.28989 0.02519 0.00894 0.00900 0.00011 0.66554
0.18122 0.32843 0.20372 0.08095 0.00013 0.00792 0.19763
0.00093 0.00921 0.94070 0.00102 0.00034 0.02517 0.02263
0.00000 0.00015 0.00012 0.00001 0.98679 0.01163 0.00130
0.83972 0.00017 0.00826 0.04831 0.00002 0.08592 0.01762
0.00341 0.09556 0.04153 0.00309 0.00027 0.00092 0.85521
0.00125 0.56612 0.00006 0.00635 0.00138 0.00266 0.42218
0.00000 0.00000 0.00000 0.00000 0.00000 1.00000 0.00000
0.01719 0.00049 0.06823 0.02045 0.00081 0.80103 0.09180
0.03410 0.00155 0.01203 0.10373 0.00094 0.79538 0.05226
0.00005 0.00493 0.60016 0.00003 0.00685 0.00079 0.38719
0.01435 0.01162 0.29420 0.00426 0.01553 0.08534 0.57470
0.16111 0.00882 0.40525 0.00139 0.00016 0.00050 0.42277
0.12074 0.01936 0.54039 0.03953 0.00030 0.24896 0.03073
0.09078 0.01037 0.18689 0.07081 0.01128 0.29439 0.33548
