# Country Folk Indie Jazz Metal Pop Rock
0.05021 0.03865 0.16318 0.43519 0.00768 0.25119 0.05390
0.18682 0.03341 0.59879 0.02326 0.00970 0.10635 0.04168
0.03038 0.92501 0.00160 0.00016 0.00040 0.00000 0.04245
0.00139 0.16069 0.29376 0.00248 0.36164 0.02053 0.15951
0.00027 0.00211 0.10613 0.00062 0.01157 0.00082 0.87848
0.00000 0.00000 0.00000 0.00000 0.99981 0.00000 0.00018
0.98248 0.00007 0.01404 0.00119 0.00010 0.00012 0.00202
0.01182 0.04057 0.90005 0.00024 0.00000 0.04712 0.00019
0.00251 0.01585 0.02230 0.00426 0.00001 0.84500 0.11008
0.03719 0.38852 0.07970 0.09547 0.24205 0.04365 0.11342
0.01966 0.00000 0.00261 0.96012 0.00000 0.01756 0.00006
0.00560 0.66514 0.32870 0.00001 0.00001 0.00033 0.00020
0.09445 0.73871 0.08625 0.00824 0.00019 0.00060 0.07157
0.00034 0.00206 0.00091 0.97686 0.00021 0.01954 0.00008
0.25338 0.00071 0.00456 0.00776 0.00001 0.00937 0.72421
0.03267 0.01848 0.05710 0.87187 0.00885 0.00598 0.00504
0.00000 0.00175 0.00000 0.00000 0.00659 0.99139 0.00027
0.00000 0.00071 0.00328 0.00003 0.06993 0.00073 0.92533
0.28281 0.24754 0.27847 0.00366 0.00488 0.00925 0.17340
0.03299 0.00413 0.15211 0.00605 0.00009 0.29145 0.51317
0.00003 0.00768 0.10868 0.00047 0.00000 0.12785 0.75530
0.06251 0.08481 0.45705 0.15659 0.00218 0.03760 0.19927
0.00074 0.06729 0.92844 0.00000 0.00005 0.00019 0.00328
0.00001 0.73731 0.17201 0.00000 0.00545 0.01814 0.06709
0.00000 0.00018 0.01613 0.00000 0.98344 0.00010 0.00014
0.00000 0.00035 0.99465 0.00000 0.00499 0.00000 0.00001
0.00102 0.32211 0.00514 0.01218 0.28937 0.18107 0.18911
0.00037 0.00233 0.50901 0.00002 0.30100 0.00333 0.18394
0.00696 0.04298 0.06157 0.82955 0.00041 0.01909 0.03944
0.01442 0.00460 0.07480 0.90219 0.00000 0.00168 0.00230
0.00000 0.95154 0.00000 0.00000 0.00023 0.00025 0.04798
0.00066 0.47078 0.01810 0.43451 0.00144 0.00339 0.07112
0.00071 0.00803 0.00116 0.00155 0.97484 0.01217 0.00155
0.46002 0.03947 0.30993 0.04800 0.00038 0.00302 0.13918
0.75262 0.00588 0.00041 0.21026 0.00000 0.00039 0.03045
0.00005 0.00001 0.00072 0.00413 0.00000 0.99465 0.00044
0.00239 0.00350 0.23891 0.30932 0.00001 0.42789 0.01799
0.04730 0.12181 0.00248 0.45870 0.00238 0.24094 0.12638
0.03719 0.38852 0.07970 0.09547 0.24205 0.04365 0.11342
0.23064 0.00434 0.02931 0.00340 0.00005 0.11088 0.62138
0.00162 0.00018 0.99811 0.00000 0.00002 0.00001 0.00005
0.00005 0.01885 0.00446 0.04618 0.00136 0.80744 0.12165
0.01498 0.17026 0.16759 0.24854 0.03807 0.07235 0.28821
0.05949 0.01437 0.44302 0.00977 0.15404 0.00375 0.31555
0.04303 0.02292 0.85542 0.00038 0.00060 0.05968 0.01797
0.89449 0.00090 0.00285 0.07731 0.00000 0.00690 0.01755
0.00042 0.00227 0.00024 0.00196 0.00000 0.71138 0.28374
0.00052 0.00140 0.76625 0.03471 0.00000 0.17154 0.02558
0.47079 0.51374 0.01224 0.00042 0.00000 0.00000 0.00281
0.00003 0.99993 0.00003 0.00000 0.00001 0.00000 0.00000
0.10575 0.64911 0.06343 0.00390 0.01576 0.00410 0.15795
0.00153 0.12607 0.67473 0.00252 0.17575 0.00964 0.00977
0.00000 0.02698 0.02210 0.00009 0.60361 0.00015 0.34707
0.02792 0.00176 0.00742 0.93593 0.00001 0.01157 0.01539
0.00507 0.22932 0.47166 0.00003 0.00157 0.00434 0.28801
0.00060 0.05194 0.00033 0.00674 0.63366 0.01116 0.29557
0.00000 0.00000 0.00001 0.00000 0.00000 0.99991 0.00008
0.01729 0.01156 0.34572 0.40734 0.00503 0.01330 0.19977
0.00003 0.00097 0.00167 0.00992 0.00004 0.97070 0.01668
0.02791 0.16493 0.33023 0.27570 0.00071 0.00600 0.19452
0.20227 0.00526 0.09749 0.06589 0.00148 0.01498 0.61264
0.00914 0.00070 0.00013 0.00028 0.00000 0.00005 0.98970
0.62288 0.00280 0.01818 0.00154 0.00021 0.01791 0.33646
0.17977 0.00499 0.66473 0.02393 0.02105 0.00598 0.09956
0.00007 0.00003 0.96368 0.00000 0.00000 0.00000 0.03622
0.11452 0.05353 0.44671 0.00711 0.09511 0.05660 0.22641
0.00967 0.03768 0.00353 0.84991 0.00002 0.06431 0.03490
0.71650 0.00181 0.00918 0.09600 0.00001 0.02191 0.15459
0.00020 0.98568 0.01252 0.00145 0.00000 0.00001 0.00014
