# Country Folk Indie Jazz Metal Pop Rock
0.17860 0.40419 0.28191 0.32821 0.47177 0.20473 0.33396
0.14543 0.14938 0.46084 0.10705 0.05991 0.38211 0.47097
0.00005 0.45164 0.00061 0.01142 0.00598 0.06018 0.02315
0.17860 0.40419 0.28191 0.32821 0.47177 0.20473 0.33396
0.04596 0.22797 0.33149 0.10585 0.40208 0.19914 0.49069
0.00000 0.00633 0.00069 0.00002 0.99108 0.00027 0.02899
0.12304 0.05215 0.54572 0.02271 0.00836 0.31470 0.39199
0.11793 0.01879 0.07109 0.24839 0.00061 0.69612 0.17975
0.02972 0.01526 0.26095 0.04348 0.00853 0.82848 0.24036
0.17860 0.40419 0.28191 0.32821 0.47177 0.20473 0.33396
0.00001 0.00020 0.00192 0.00874 0.00001 0.99109 0.00519
0.15932 0.05513 0.61723 0.00561 0.00402 0.07712 0.35924
0.00987 0.00365 0.03172 0.17349 0.00039 0.93170 0.07167
0.08928 0.44996 0.13402 0.28680 0.14332 0.26315 0.29252
0.63793 0.03074 0.25002 0.15697 0.00089 0.35304 0.40861
0.40050 0.05252 0.12711 0.47055 0.00460 0.44542 0.33464
0.00638 0.00824 0.01386 0.49317 0.00351 0.68197 0.18053
0.03267 0.11916 0.57250 0.01320 0.04936 0.15843 0.39375
0.52886 0.12168 0.46851 0.04374 0.00260 0.08569 0.28998
0.33388 0.12902 0.38993 0.18285 0.02564 0.42277 0.44493
0.75654 0.09814 0.11693 0.42747 0.00067 0.16890 0.23385
0.17860 0.40419 0.28191 0.32821 0.47177 0.20473 0.33396
0.10921 0.15363 0.53028 0.06668 0.05867 0.38420 0.49481
0.01448 0.26297 0.44059 0.01280 0.05664 0.11665 0.29108
0.00043 0.07059 0.04023 0.00433 0.82042 0.02272 0.22407
0.10933 0.10356 0.53553 0.03741 0.04939 0.14455 0.49686
0.23764 0.12728 0.36470 0.25419 0.05619 0.54359 0.44830
0.00170 0.17413 0.06637 0.01385 0.66415 0.06454 0.24629
0.30978 0.09088 0.39597 0.17009 0.01737 0.47184 0.41595
0.90614 0.09155 0.12635 0.30382 0.00011 0.04943 0.18930
0.00040 0.00140 0.00057 0.48565 0.00001 0.87024 0.00913
0.27008 0.24520 0.28047 0.48289 0.14402 0.37388 0.47833
0.17860 0.40419 0.28191 0.32821 0.47177 0.20473 0.33396
0.56275 0.17234 0.39930 0.23357 0.02035 0.26734 0.42356
0.55553 0.20487 0.23528 0.51409 0.02493 0.25561 0.35195
0.00617 0.00589 0.07621 0.09961 0.00204 0.94217 0.10030
0.56744 0.03411 0.04963 0.68189 0.00070 0.24115 0.24479
0.71911 0.09615 0.09249 0.65138 0.00191 0.16089 0.26096
0.17860 0.40419 0.28191 0.32821 0.47177 0.20473 0.33396
0.65926 0.14243 0.38748 0.16377 0.00844 0.19341 0.41706
0.07864 0.24672 0.52285 0.05568 0.09781 0.23611 0.46362
0.00083 0.00150 0.01200 0.12892 0.00074 0.97485 0.05238
0.17860 0.40419 0.28191 0.32821 0.47177 0.20473 0.33396
0.17860 0.40419 0.28191 0.32821 0.47177 0.20473 0.33396
0.05354 0.01881 0.23746 0.08266 0.00749 0.80815 0.26761
0.35966 0.02475 0.16563 0.16348 0.00069 0.37860 0.35726
0.01650 0.00722 0.08945 0.11972 0.00303 0.93269 0.15325
0.06020 0.00801 0.14714 0.11893 0.00201 0.89279 0.24599
0.02084 0.64294 0.02917 0.07078 0.00090 0.03633 0.03396
0.06693 0.15468 0.33375 0.00288 0.00003 0.00520 0.05438
0.43861 0.04960 0.20295 0.30626 0.00328 0.45968 0.35220
0.05260 0.08717 0.33635 0.13364 0.04833 0.63504 0.38231
0.00034 0.06727 0.05352 0.00276 0.66123 0.01667 0.20429
0.42388 0.20832 0.32942 0.40409 0.06948 0.38750 0.42620
0.00686 0.14216 0.27641 0.01745 0.27133 0.13868 0.37763
0.00175 0.13274 0.03828 0.01475 0.85361 0.01727 0.13296
0.00000 0.00000 0.00001 0.00000 0.00000 0.96136 0.00000
0.08151 0.12615 0.18025 0.37221 0.04679 0.61982 0.27949
0.00221 0.00355 0.00699 0.43436 0.00030 0.89603 0.01995
0.49920 0.06616 0.03842 0.77042 0.00121 0.17055 0.19707
0.17085 0.13225 0.49118 0.11323 0.05488 0.45775 0.44805
0.45272 0.14090 0.50560 0.04892 0.00675 0.07045 0.37600
0.36543 0.11360 0.38646 0.13582 0.01295 0.32386 0.41082
0.34284 0.10373 0.46069 0.14151 0.02219 0.41779 0.44403
0.12020 0.31249 0.50736 0.09889 0.16973 0.17079 0.45806
0.00876 0.15805 0.08731 0.04363 0.82180 0.04542 0.22585
0.65934 0.03406 0.04228 0.70947 0.00043 0.20184 0.23264
0.16190 0.05639 0.20855 0.23288 0.00828 0.57118 0.36562
0.04614 0.19011 0.58661 0.00479 0.00486 0.02062 0.23784
0.17976 0.18038 0.28908 0.35875 0.10206 0.54066 0.42872
0.99373 0.00751 0.09641 0.02343 0.00000 0.00772 0.07163
0.02473 0.14029 0.53964 0.01120 0.06486 0.11445 0.38679
0.03238 0.26518 0.38965 0.04616 0.39467 0.13114 0.40360
0.74726 0.06553 0.27871 0.07761 0.00032 0.10286 0.28914
