# Country Folk Indie Jazz Metal Pop Rock
0.25264 0.20944 0.49719 0.23222 0.03458 0.33812 0.39178
0.07676 0.27281 0.49032 0.08447 0.04782 0.25237 0.37476
0.00001 0.04580 0.00033 0.00042 0.65341 0.00061 0.02437
0.06677 0.26509 0.51345 0.07422 0.05984 0.18661 0.40176
0.00007 0.02915 0.00089 0.00176 0.78544 0.00203 0.04247
0.00000 0.00720 0.00003 0.00010 0.88551 0.00014 0.00871
0.07170 0.27374 0.47670 0.08318 0.07678 0.17790 0.39738
0.13113 0.23089 0.51158 0.13494 0.03434 0.35721 0.37620
0.11926 0.19895 0.41323 0.14133 0.01560 0.51928 0.29742
0.01795 0.27498 0.15046 0.04124 0.21594 0.05510 0.29353
0.02940 0.17509 0.19246 0.06015 0.00250 0.63192 0.14440
0.08741 0.26945 0.47915 0.09821 0.07935 0.19117 0.39931
0.04525 0.27847 0.47086 0.05313 0.02902 0.25090 0.34443
0.12687 0.21605 0.50375 0.13187 0.02464 0.42037 0.36093
0.15370 0.18860 0.41277 0.17589 0.01451 0.56538 0.30046
0.44479 0.15534 0.32216 0.43529 0.01037 0.55331 0.28817
0.10560 0.13426 0.21418 0.17332 0.00328 0.75617 0.16512
0.01239 0.25897 0.15345 0.02762 0.20432 0.04101 0.29968
0.04913 0.28574 0.40642 0.06574 0.10304 0.12444 0.38535
0.10753 0.21378 0.41884 0.12884 0.01845 0.47001 0.30410
0.48625 0.12874 0.21147 0.51220 0.00514 0.60617 0.21664
0.83024 0.13133 0.18773 0.78774 0.00487 0.28090 0.25672
0.12174 0.25027 0.48969 0.12571 0.07754 0.22031 0.40211
0.06018 0.26587 0.51183 0.06846 0.06238 0.17263 0.40349
0.00001 0.01440 0.00017 0.00047 0.84820 0.00059 0.01975
0.01460 0.28195 0.16135 0.03139 0.19448 0.04879 0.30041
0.08900 0.21625 0.45364 0.10345 0.01817 0.43423 0.31860
0.00001 0.01284 0.00012 0.00035 0.85557 0.00044 0.01706
0.32184 0.13177 0.21235 0.38779 0.00476 0.67308 0.19611
0.66081 0.13495 0.21463 0.63909 0.00638 0.48140 0.24572
0.00070 0.38880 0.03175 0.00456 0.00305 0.13780 0.06420
0.11598 0.23695 0.54759 0.11482 0.03772 0.31164 0.39655
0.01467 0.22587 0.11362 0.03796 0.29628 0.04340 0.27886
0.72769 0.15076 0.26407 0.67635 0.00975 0.33391 0.30077
0.93558 0.05457 0.03831 0.92645 0.00030 0.15081 0.11104
0.12913 0.19404 0.41001 0.15222 0.01460 0.54664 0.29486
0.69901 0.13568 0.21165 0.67082 0.00648 0.43677 0.25088
0.87603 0.10515 0.10761 0.85238 0.00219 0.25484 0.19266
0.01795 0.27498 0.15046 0.04124 0.21594 0.05510 0.29353
0.08535 0.25988 0.50029 0.09238 0.03734 0.29465 0.36930
0.08334 0.23223 0.57755 0.08163 0.03764 0.24729 0.40898
0.05172 0.19439 0.24247 0.08945 0.00518 0.61398 0.18431
0.67492 0.14395 0.19646 0.66277 0.00769 0.43732 0.23953
0.00002 0.02240 0.00039 0.00079 0.80339 0.00099 0.02886
0.09542 0.19735 0.36022 0.12508 0.01097 0.56087 0.25890
0.32846 0.17849 0.42158 0.31447 0.01737 0.47194 0.34164
0.22034 0.16280 0.30255 0.26959 0.00951 0.63653 0.24415
0.05786 0.17636 0.24273 0.09829 0.00440 0.65050 0.17955
0.00554 0.41926 0.16990 0.01394 0.03250 0.08722 0.21552
0.05877 0.31360 0.42742 0.07273 0.07902 0.16285 0.37417
0.07488 0.26991 0.51225 0.08132 0.06120 0.19860 0.40056
0.08492 0.21774 0.48319 0.09503 0.01791 0.41738 0.33295
0.00001 0.01637 0.00022 0.00060 0.83794 0.00075 0.02265
0.03925 0.29969 0.38969 0.05562 0.09274 0.11593 0.37303
0.00349 0.41458 0.11885 0.00995 0.07304 0.03015 0.22358
0.00032 0.10537 0.00496 0.00320 0.53144 0.00401 0.08495
0.05363 0.10680 0.14071 0.11607 0.00111 0.79701 0.10853
0.09226 0.26842 0.50445 0.09749 0.05399 0.25095 0.38745
