# Country Folk Indie Jazz Metal Pop Rock
0.04168 0.00768 0.01984 0.19978 0.00258 0.03570 0.02167
0.00055 0.00474 0.05883 0.00459 0.00568 0.00710 0.00211
0.00006 0.00064 0.00035 0.00000 0.00000 0.00000 0.14795
0.00007 0.38663 0.00018 0.00023 0.01880 0.00007 0.01442
0.00022 0.00109 0.02297 0.00016 0.00956 0.01294 0.05719
0.00000 0.00002 0.00000 0.00001 0.99677 0.00000 0.00001
0.45311 0.00032 0.00960 0.00457 0.00002 0.00019 0.02740
0.00319 0.00154 0.08705 0.00008 0.00000 0.00108 0.00103
0.00012 0.00006 0.00265 0.00010 0.00000 0.48896 0.00595
0.04829 0.45177 0.08799 0.13188 0.22713 0.04436 0.14654
0.08145 0.00000 0.00003 0.00117 0.00000 0.00158 0.00022
0.00635 0.00214 0.00695 0.00000 0.00000 0.00022 0.00180
0.00442 0.00001 0.02092 0.00068 0.00000 0.00017 0.01529
0.01094 0.00572 0.00749 0.55928 0.00146 0.01234 0.00156
0.01793 0.00107 0.00880 0.01186 0.00010 0.00055 0.08853
0.02653 0.03603 0.00184 0.00679 0.00104 0.00037 0.10637
0.00000 0.00000 0.00000 0.00014 0.00000 0.60546 0.00012
0.00385 0.00135 0.00234 0.01814 0.00012 0.00714 0.06379
0.02871 0.01073 0.03496 0.00167 0.00035 0.00869 0.11303
0.09889 0.01877 0.10220 0.03237 0.01926 0.02952 0.13260
0.00991 0.00029 0.00040 0.00030 0.00001 0.00010 0.07013
0.01453 0.00025 0.00405 0.06049 0.00001 0.00170 0.00575
0.00146 0.00050 0.26279 0.00000 0.00000 0.00003 0.03557
0.00000 0.00458 0.00129 0.00000 0.00117 0.00040 0.02698
0.00000 0.00034 0.00002 0.00000 0.03591 0.00187 0.01231
0.00000 0.00006 0.01360 0.00000 0.00000 0.00000 0.00124
0.00003 0.00375 0.00004 0.00065 0.01765 0.12251 0.00762
0.00008 0.00288 0.00064 0.00000 0.00651 0.00002 0.00955
0.01064 0.00165 0.00365 0.03735 0.00022 0.01236 0.19041
0.05736 0.00413 0.00157 0.42892 0.00122 0.00072 0.01099
0.00004 0.17802 0.00004 0.01399 0.00026 0.00118 0.00706
0.01927 0.09147 0.00823 0.37702 0.00304 0.01582 0.00802
0.00408 0.00241 0.00635 0.02832 0.02264 0.03777 0.00002
0.26510 0.00133 0.04280 0.00108 0.00000 0.00005 0.01174
0.27178 0.01871 0.00022 0.03133 0.00003 0.00006 0.00158
0.00005 0.00001 0.00010 0.00213 0.00000 0.86029 0.00024
