# Country Folk Indie Jazz Metal Pop Rock
0.00260 0.00015 0.00430 0.02156 0.00312 0.98807 0.06062
0.00215 0.00023 0.00061 0.00109 0.00444 0.00547 0.75466
0.00381 0.00030 0.00326 0.00144 0.00482 0.00815 0.66768
0.00021 0.00010 0.00019 0.00007 0.00014 1.00000 0.00282
0.00077 0.00039 0.00140 0.00160 0.00460 0.15935 0.30658
0.00139 0.00023 0.00067 0.00114 0.00561 0.01158 0.66048
0.65099 0.00020 0.00071 0.00083 0.00271 0.10782 0.17360
0.00599 0.00160 0.01613 0.00408 0.00291 0.06588 0.39535
0.00141 0.00033 0.00150 0.00125 0.00603 0.02975 0.45590
0.00546 0.00029 0.00093 0.00153 0.00053 0.99993 0.03628
0.00171 0.00022 0.00055 0.00105 0.00484 0.00599 0.76956
0.00111 0.00024 0.00094 0.00095 0.00572 0.00606 0.57258
0.00020 0.00243 0.00013 0.00024 0.00030 1.00000 0.00788
0.00049 0.00007 0.00009 0.00008 0.00048 1.00000 0.05753
0.00632 0.00042 0.00219 0.00184 0.00363 0.00780 0.51815
0.00309 0.00000 0.00002 0.00152 0.99951 0.33874 0.00372
1.00000 0.00007 0.00044 0.00033 0.00013 0.00065 0.00559
0.00210 0.00022 0.00053 0.00071 0.00307 0.03954 0.61047
0.00150 0.00018 0.00038 0.00061 0.00260 0.18196 0.60996
0.00142 0.00025 0.00074 0.00104 0.00396 0.02152 0.60571
0.00093 0.00040 0.00163 0.00313 0.00424 0.09680 0.29857
0.00901 0.00491 0.07003 0.02650 0.00616 0.01207 0.80474
0.00009 0.00000 0.00002 1.00000 0.00001 0.00011 0.01418
1.00000 0.00015 0.00060 0.00034 0.00038 0.03765 0.02049
0.00133 0.00076 0.00406 0.00344 0.00524 0.07610 0.42434
0.00125 0.00028 0.00114 0.00136 0.00524 0.02772 0.54029
0.00060 0.00044 0.00175 0.00198 0.00485 0.25648 0.19744
0.00164 0.00020 0.00052 0.00103 0.00523 0.00574 0.76713
0.00079 0.00016 0.00037 0.00042 0.00195 0.96643 0.24594
0.00243 0.00123 0.00945 0.00387 0.00564 0.04985 0.42347
0.00089 0.00006 0.00055 0.00072 0.04677 0.00422 0.32664
0.00119 0.00112 0.00694 0.00378 0.00296 0.88043 0.27329
0.00271 0.00023 0.00062 0.00105 0.00399 0.01040 0.72383
0.00118 0.00025 0.00068 0.00105 0.00400 0.05106 0.57820
0.00141 0.00349 0.01010 0.00214 0.00984 0.01368 0.29605
0.00408 0.00024 0.00080 0.00110 0.00378 0.00442 0.67397
0.00233 0.00030 0.00104 0.00179 0.00398 0.01550 0.57446
0.00193 0.00025 0.00070 0.00119 0.00461 0.00624 0.76597
0.00208 0.00091 0.01013 0.00211 0.00353 0.01291 0.41787
0.10969 0.00053 0.00392 0.77137 0.00100 0.09564 0.19978
1.00000 0.00003 0.00003 0.00052 0.00033 0.22195 0.01735
0.00252 0.00094 0.00535 0.00465 0.00534 0.01558 0.72510
0.00361 0.00049 0.00151 0.00198 0.00201 0.79520 0.25453
0.00201 0.00019 0.00049 0.00152 0.00974 0.02101 0.60608
0.00076 0.00002 0.00031 0.00058 0.15253 0.00373 0.22681
0.02446 0.00022 0.00111 0.00088 0.05198 0.46526 0.22717
0.00028 0.00003 0.00020 1.00000 0.00006 0.02165 0.04007
0.00650 0.00197 0.21984 0.00317 0.12046 0.06205 0.56477
0.00322 0.00032 0.00163 0.00139 0.00385 0.01057 0.55532
0.00148 0.00018 0.00067 0.00098 0.00836 0.00835 0.62648
0.99893 0.00024 0.00219 0.00061 0.00068 0.00065 0.06806
0.00175 0.00079 0.00431 0.00374 0.00502 0.08836 0.47851
0.00012 0.00011 0.00018 0.00006 0.00015 1.00000 0.00184
0.00158 0.00019 0.00052 0.00102 0.00577 0.00604 0.74802
0.00062 0.00012 0.00041 0.22482 0.00121 0.40520 0.09429
0.00016 0.00009 0.00013 0.00005 0.00013 1.00000 0.00311
0.00157 0.00020 0.00051 0.00179 0.00431 0.01393 0.62118
0.00014 0.00204 0.02756 0.00117 0.00166 0.11148 0.01563
0.00115 0.00034 0.00114 0.00155 0.00507 0.03477 0.52455
0.00232 0.00037 0.00177 0.00225 0.00680 0.00936 0.70152
0.00216 0.00026 0.00075 0.00116 0.00542 0.01319 0.62459
0.00191 0.00023 0.00059 0.00109 0.00452 0.00595 0.76640
0.01449 0.00088 0.01895 0.00403 0.00456 0.01306 0.67807
0.00228 0.00019 0.00313 0.00134 0.01544 0.00794 0.62539
0.00106 0.00146 0.18752 0.00182 0.00344 0.01343 0.13678
0.00144 0.00028 0.00084 0.00133 0.00480 0.01565 0.64057
0.00250 0.00038 0.00266 0.00181 0.00500 0.02059 0.54961
0.00009 0.00000 0.00000 1.00000 0.00001 0.00015 0.00298
0.00353 0.00320 0.03600 0.01797 0.00628 0.02581 0.71864
0.00051 0.00004 0.00024 1.00000 0.00006 0.00629 0.05401
0.00280 0.00032 0.00127 0.00150 0.00670 0.00760 0.69118
0.87173 0.00150 0.01000 0.02293 0.00082 0.98184 0.18572
0.00145 0.00029 0.00090 0.00116 0.00431 0.00759 0.67051
0.00169 0.00022 0.00053 0.00104 0.00462 0.00579 0.78393
0.00160 0.00018 0.00051 0.00100 0.00603 0.00553 0.75219
0.00798 0.00058 0.28053 0.00348 0.00666 0.03123 0.75346
0.00156 0.00034 0.00127 0.00150 0.00454 0.03476 0.44192
0.00055 0.00029 0.00096 0.00137 0.00262 0.90709 0.13524
0.00067 0.00042 0.00166 0.00156 0.00398 0.54922 0.19685
0.00422 0.00222 0.00027 0.00066 0.48052 0.61832 0.07731
0.00013 0.00022 0.00100 0.03335 0.00127 0.98026 0.00976
0.00094 0.00148 0.00252 0.00085 0.84752 0.15197 0.12435
0.00163 0.00023 0.00057 0.00108 0.00461 0.00673 0.76608
0.00411 0.00071 0.14682 0.00278 0.00640 0.12456 0.45173
0.00151 0.00035 0.00491 0.00140 0.00350 0.39278 0.33143
0.00145 0.00022 0.00054 0.00096 0.00404 0.02023 0.70193
0.00025 0.00027 0.00116 0.00041 0.00145 0.99911 0.02148
0.00013 0.00010 0.00017 0.00015 0.00011 1.00000 0.00139
0.00033 0.00019 0.00055 0.00025 0.00032 1.00000 0.00711
0.00203 0.00024 0.00062 0.00113 0.00472 0.01479 0.65953
0.00086 0.00005 0.00031 1.00000 0.00011 0.05819 0.05159
0.00491 0.00026 0.13577 0.00244 0.01244 0.01459 0.79222
0.00147 0.00028 0.00103 0.00165 0.00337 0.14847 0.35275
0.00016 0.00004 0.00011 0.99912 0.00011 0.99901 0.00775
0.00009 0.00011 0.00463 0.00080 0.31108 0.00327 0.00336
0.00656 0.02975 0.21035 0.64328 0.00234 0.00659 0.53450
0.00036 0.00040 0.00358 0.00252 0.01477 0.01215 0.07684
0.00052 0.00004 0.00031 1.00000 0.00004 0.00079 0.07803
0.00095 0.00037 0.00138 0.00168 0.00520 0.06946 0.38678
0.00010 0.00010 0.00014 0.00005 0.00010 1.00000 0.00102
0.00640 0.00016 0.00065 0.03274 0.00102 0.08124 0.27220
0.00038 0.00086 0.00739 0.00092 0.00212 0.01946 0.11468
0.08781 0.00010 0.00015 0.00035 0.55123 0.80655 0.11075
0.08499 0.30662 0.23826 0.00375 0.00055 0.00131 0.08330
0.00120 0.00010 0.00046 0.00088 0.01774 0.00557 0.56052
0.00145 0.00017 0.00062 0.00103 0.00798 0.00717 0.68147
0.00065 0.00258 0.88654 0.00219 0.00337 0.02848 0.03094
0.02366 0.00156 0.01645 0.00544 0.00274 0.01695 0.42353
0.00138 0.00028 0.00086 0.00042 0.00079 0.99961 0.10171
0.01318 0.00233 0.03051 0.01160 0.00442 0.00718 0.67114
0.00394 0.00083 0.00551 0.00468 0.00416 0.02687 0.55681
0.00143 0.00033 0.00128 0.00107 0.00346 0.06008 0.47103
0.00134 0.00027 0.00079 0.00126 0.00500 0.01722 0.64356
0.00158 0.00078 0.04406 0.00139 0.01646 0.01571 0.25312
1.00000 0.00023 0.00088 0.00063 0.00063 0.00521 0.04229
0.00019 0.00000 0.00002 1.00000 0.00001 0.00012 0.01714
0.00164 0.00025 0.00067 0.00118 0.00474 0.00844 0.73484
0.00164 0.00022 0.00054 0.00106 0.00479 0.00638 0.76834
0.00013 0.00001 0.00003 1.00000 0.00001 0.00881 0.01169
0.00026 0.00011 0.00022 0.00006 0.00039 1.00000 0.02059
0.04026 0.00335 0.00326 0.00169 0.00085 0.99243 0.06324
0.00266 0.00032 0.00121 0.00122 0.00295 0.10837 0.43443
0.41357 0.10508 0.00935 0.00117 0.57184 0.26196 0.06101
0.00026 0.00004 0.00011 0.76019 0.00177 0.22585 0.04707
0.00063 0.00001 0.00028 0.00052 0.31854 0.00301 0.13955
0.54021 0.00008 0.00039 1.00000 0.00009 0.00939 0.05177
0.00059 0.00001 0.00027 0.00050 0.40289 0.00256 0.11500
0.95341 0.00025 0.00086 0.18396 0.00025 0.99780 0.03486
0.00376 0.00043 0.00187 0.00168 0.00488 0.00877 0.61475
0.00205 0.00047 0.00133 0.00155 0.00424 0.01064 0.64095
0.00167 0.00022 0.00056 0.00107 0.00469 0.00649 0.76779
0.00176 0.00024 0.00090 0.00116 0.00479 0.00812 0.75493
0.00053 0.00045 0.00031 0.00026 0.00018 1.00000 0.01121
0.00064 0.00014 0.00066 0.90767 0.00182 0.01631 0.15560
0.00169 0.00022 0.00053 0.00105 0.00464 0.00582 0.78306
1.00000 0.00014 0.00010 0.00018 0.00054 0.02555 0.05456
0.00146 0.00037 0.00142 0.00142 0.00491 0.01115 0.62655
0.00799 0.00009 0.00061 1.00000 0.00007 0.18519 0.06549
0.03599 0.00086 0.00781 0.00312 0.00267 0.00284 0.45309
0.00169 0.00022 0.00053 0.00104 0.00462 0.00579 0.78400
0.00103 0.00015 0.00076 0.89425 0.00116 0.05011 0.18329
0.00355 0.00021 0.00013 0.00049 0.00050 0.99960 0.07785
0.00169 0.00022 0.00058 0.00107 0.00470 0.00641 0.77059
0.00083 0.00138 0.00088 0.00086 0.00303 0.03145 0.30250
0.00072 0.00017 0.00051 0.00023 0.00036 1.00000 0.01132
0.00043 0.00000 0.00022 0.00040 0.73416 0.00192 0.04616
0.00133 0.00024 0.00188 0.00139 0.00814 0.02775 0.49750
0.00334 0.00150 0.01243 0.00658 0.00485 0.03208 0.61341
0.00169 0.00018 0.00055 0.00100 0.00630 0.00635 0.71061
0.00034 0.00248 0.00447 0.00071 0.00139 0.04248 0.06898
0.00090 0.00010 0.00041 0.00040 0.70212 0.10679 0.40258
0.00537 0.00238 0.00533 0.00212 0.00170 0.13703 0.19483
0.00111 0.00035 0.00119 0.00139 0.00425 0.13974 0.34621
0.00094 0.00038 0.00145 0.00165 0.00496 0.07774 0.36975
0.00184 0.00024 0.00169 0.00120 0.00523 0.00818 0.72977
0.95255 0.00009 0.00009 0.00008 0.00018 1.00000 0.00222
0.00308 0.00085 0.00280 0.00240 0.00338 0.04110 0.49979
0.00040 0.00000 0.00000 1.00000 0.00001 0.00544 0.00253
0.00018 0.00023 0.00034 0.00019 0.00040 1.00000 0.00650
0.91327 0.00102 0.00789 0.00251 0.00112 0.00133 0.19428
0.00015 0.00001 0.00004 1.00000 0.00001 0.00043 0.01992
0.00143 0.00029 0.00107 0.00138 0.00493 0.02181 0.59231
0.99990 0.00046 0.00020 0.00055 0.00117 0.95343 0.02689
0.00043 0.00001 0.00006 1.00000 0.00002 0.00026 0.02833
0.00029 0.00011 0.00029 0.00139 0.01563 0.99997 0.01244
0.00115 0.00067 0.00321 0.00293 0.00497 0.08902 0.43258
0.00149 0.00017 0.00054 0.00096 0.01184 0.00547 0.71273
0.00108 0.00025 0.00079 0.00105 0.01148 0.05656 0.48447
0.00054 0.00001 0.00025 0.00047 0.49475 0.00230 0.09123
0.00228 0.00038 0.00402 1.00000 0.00017 0.36454 0.16272
0.00009 0.00000 0.00002 1.00000 0.00001 0.00087 0.01112
0.00469 0.00044 0.04010 0.00200 0.00993 0.03628 0.61564
0.00213 0.00006 0.00016 0.00760 1.00000 0.08603 0.05087
0.00070 0.00001 0.00018 0.00035 0.99808 0.00189 0.10223
0.96531 0.00002 0.00003 0.98311 0.00009 0.71435 0.00686
0.00163 0.00023 0.00054 0.00106 0.00458 0.00681 0.76825
0.00500 0.00147 0.12857 0.00268 0.00522 0.02213 0.47086
0.00159 0.00021 0.00070 0.00094 0.00544 0.00868 0.66305
0.00092 0.00313 0.02956 0.00225 0.00181 0.02473 0.09223
0.00044 0.00004 0.00081 0.00056 0.10971 0.00333 0.09096
0.00179 0.00026 0.00079 0.00121 0.00444 0.01088 0.67304
0.99999 0.00131 0.00064 0.00137 0.00079 0.02809 0.26573
0.00009 0.00000 0.00000 1.00000 0.00001 0.00087 0.00393
0.00194 0.97907 0.03347 0.02258 0.98753 0.02756 0.19914
0.51083 0.00025 0.00076 0.00317 0.00229 0.00343 0.39894
0.00044 0.00159 0.03285 0.00109 0.00177 0.00838 0.08788
0.00603 0.00374 0.04791 0.01899 0.00577 0.02302 0.71868
0.00059 0.00001 0.00030 0.00051 0.33576 0.00285 0.12139
0.00043 0.00000 0.00022 0.00043 0.68425 0.00240 0.04835
0.00045 0.00058 0.00669 0.00098 0.00444 0.02921 0.09705
0.00234 0.00084 0.00291 0.00527 0.00028 1.00000 0.03608
0.00020 0.00001 0.00007 1.00000 0.00001 0.00397 0.02060
0.00014 0.00000 0.00002 0.00002 1.00000 0.99849 0.00248
1.00000 0.00003 0.00005 0.00006 0.00023 0.00135 0.01302
0.00623 0.00028 0.00109 0.00138 0.01460 0.00855 0.64697
0.00030 0.00002 0.00007 0.00074 0.64846 0.00178 0.02463
0.00122 0.00029 0.00094 0.00135 0.00473 0.02565 0.57953
0.05916 0.00114 0.00600 0.21325 0.02795 0.33399 0.14381
0.01330 0.00037 0.00244 0.00092 0.00121 0.97524 0.13511
0.00226 0.00027 0.00100 0.00114 0.00430 0.03345 0.61071
0.00016 0.00040 0.00022 0.00038 0.23774 0.02221 0.00738
0.01307 0.00105 0.14456 0.00331 0.00581 0.01106 0.79357
0.00020 0.00000 0.00003 0.01615 0.99998 0.00071 0.01499
0.00109 0.00031 0.00108 0.00145 0.00530 0.03812 0.47803
0.00110 0.00010 0.00019 0.00014 0.00018 1.00000 0.00664
0.00043 0.00051 0.00238 0.00122 0.00297 0.52099 0.10973
0.00266 0.00254 0.02732 0.00788 0.00215 0.92363 0.29528
0.00196 0.00027 0.00078 0.00120 0.00477 0.00747 0.73499
0.00051 0.00064 0.00469 0.00091 0.00252 0.00844 0.22729
0.00036 0.00007 0.00008 0.00006 0.00049 1.00000 0.02212
0.00075 0.00027 0.00107 0.00140 0.00645 0.14513 0.28604
0.00111 0.00001 0.00002 0.99981 0.00016 0.01240 0.04114
