# Country Folk Indie Jazz Metal Pop Rock
0.00148 0.00001 0.00024 0.02794 0.00083 0.93229 0.03721
0.01246 0.00239 0.00103 0.01793 0.18231 0.06634 0.71754
0.01050 0.00057 0.00003 0.00033 0.00015 0.00096 0.98746
0.00898 0.00000 0.00000 0.00089 0.00013 0.93808 0.05192
0.14981 0.01582 0.00821 0.01629 0.01027 0.68932 0.11028
0.00000 0.00000 0.00418 0.00000 0.00021 0.00769 0.98792
0.92068 0.01091 0.00013 0.01362 0.00164 0.03951 0.01351
0.21667 0.08422 0.02915 0.01867 0.00124 0.16816 0.48188
0.00007 0.00001 0.00001 0.06094 0.00014 0.93782 0.00101
0.00002 0.00000 0.00022 0.00217 0.00000 0.00676 0.99082
0.00053 0.00000 0.00000 0.45148 0.00001 0.54758 0.00041
0.03109 0.07388 0.00300 0.06586 0.06507 0.10504 0.65607
0.01321 0.01303 0.00167 0.00806 0.01367 0.07413 0.87624
0.00091 0.00136 0.00051 0.00056 0.06585 0.78788 0.14294
0.04969 0.00061 0.00014 0.35694 0.00224 0.08603 0.50434
0.00608 0.00171 0.00509 0.00751 0.00141 0.09760 0.88060
0.00050 0.00082 0.08146 0.00056 0.01972 0.01399 0.88296
0.79911 0.00140 0.00004 0.11355 0.00043 0.05208 0.03338
0.20631 0.06517 0.02394 0.01836 0.08445 0.10183 0.49995
0.07762 0.00400 0.00018 0.86886 0.00068 0.01920 0.02946
0.68164 0.00000 0.00000 0.00005 0.00000 0.31113 0.00717
0.00000 0.00003 0.00000 0.00000 0.00000 0.00009 0.99988
0.17725 0.00064 0.00000 0.02062 0.00049 0.79721 0.00378
0.00000 0.00000 0.00055 0.00000 0.00629 0.00014 0.99302
0.00027 0.00010 0.00405 0.00213 0.96140 0.01882 0.01322
0.00944 0.00001 0.00000 0.00055 0.00078 0.00628 0.98295
0.00297 0.00017 0.02307 0.00982 0.00346 0.00148 0.95902
0.41336 0.06622 0.02420 0.18576 0.02088 0.10420 0.18538
0.00011 0.00000 0.00076 0.00320 0.00433 0.00105 0.99055
0.00297 0.00000 0.00000 0.01203 0.00002 0.97990 0.00507
0.00241 0.00113 0.00964 0.00792 0.00217 0.06902 0.90772
0.10222 0.08619 0.00001 0.00069 0.00327 0.01480 0.79283
0.00835 0.00000 0.00000 0.25286 0.00004 0.10855 0.63019
0.02380 0.00015 0.00000 0.01332 0.00054 0.95670 0.00548
0.01364 0.00015 0.00003 0.20687 0.00012 0.76693 0.01227
0.99715 0.00024 0.00000 0.00005 0.00003 0.00025 0.00228
0.00022 0.00005 0.01790 0.00018 0.96696 0.00856 0.00614
0.03972 0.01187 0.00102 0.33610 0.00555 0.02495 0.58078
0.04726 0.03300 0.00001 0.18092 0.02996 0.04584 0.66301
0.00001 0.00001 0.00047 0.00000 0.97967 0.00027 0.01957
0.00123 0.00013 0.00085 0.00642 0.22358 0.01488 0.75291
0.01118 0.00080 0.00021 0.00664 0.02964 0.06074 0.89079
0.03719 0.00031 0.00021 0.27444 0.00148 0.01182 0.67455
0.00015 0.00001 0.00000 0.00090 0.00006 0.00936 0.98951
0.03225 0.00278 0.00548 0.02015 0.00465 0.04947 0.88523
