# Country Folk Indie Jazz Metal Pop Rock
0.00020 0.00000 0.00005 0.00004 0.04403 0.00000 0.07199
0.00001 0.54519 0.00014 0.00007 0.00030 0.00005 0.00695
0.00018 0.00000 0.00004 0.00004 0.04046 0.00000 0.15893
0.00008 0.00000 0.00004 0.00022 0.97937 0.00001 0.00014
0.00022 0.00057 0.00015 0.99743 0.00008 0.00046 0.00069
0.00002 0.00004 0.00003 0.00015 0.00003 0.09081 0.00011
0.00010 0.00102 0.00004 0.36497 0.00088 0.00040 0.06287
0.00037 0.00006 0.00002 0.37720 0.00015 0.00129 0.00032
0.00131 0.00000 0.00006 0.00031 0.99089 0.00000 0.00000
0.00002 0.00010 0.00001 0.00030 0.00125 0.13569 0.00087
0.00002 0.99946 0.00004 0.00019 0.00004 0.00112 0.00009
0.00139 0.00000 0.00006 0.00034 0.99137 0.00000 0.00000
0.00003 0.00014 0.00000 0.00027 0.00205 0.37085 0.00061
0.00032 0.00155 0.15020 0.00000 0.00026 0.00008 0.00003
0.00002 1.00000 0.00013 0.00023 0.00002 0.00108 0.00030
0.03209 0.00876 0.00006 0.12347 0.00002 0.00071 0.00076
0.00025 0.00023 0.00008 0.60817 0.00008 0.00136 0.00042
0.00016 0.00005 0.00116 0.00001 0.00258 0.00014 0.00345
0.00015 0.00008 0.00001 0.00028 0.00039 0.53394 0.00003
0.00053 0.00010 0.00010 0.81630 0.00003 0.00131 0.00022
0.00007 0.00013 0.00004 0.00010 0.00200 0.00000 0.95261
0.00002 0.00000 0.00446 0.00000 0.00011 0.00096 0.00001
0.00031 0.00004 0.02710 0.00000 0.00022 0.00011 0.00010
0.00045 0.00003 0.00043 0.00003 0.00008 0.00013 0.00255
0.75008 0.00004 0.00002 0.00053 0.00000 0.00054 0.00054
0.00139 0.00000 0.00006 0.00035 0.99107 0.00000 0.00000
0.00052 0.00000 0.01840 0.00000 0.00082 0.00001 0.00041
0.00039 0.00002 0.00002 0.27328 0.00009 0.00036 0.00017
0.00002 0.00010 0.00000 0.00019 0.00196 0.70714 0.00007
0.00023 0.00015 0.00467 0.00001 0.00040 0.00001 0.02009
0.00015 0.02649 0.00015 0.00140 0.00013 0.00022 0.00102
0.00094 0.00007 0.00007 0.00031 0.00001 0.00366 0.00029
0.00082 0.00000 0.00005 0.00010 0.96725 0.00000 0.00001
0.17662 0.00006 0.00002 0.00103 0.00003 0.00013 0.00314
0.00019 0.00001 0.00005 0.00001 0.00027 0.00000 0.93807
0.00013 0.00002 0.00748 0.00000 0.00047 0.00001 0.00185
0.88939 0.00001 0.00001 0.00001 0.00001 0.00017 0.00023
0.67789 0.00004 0.00007 0.00039 0.00000 0.00033 0.00057
0.00003 0.00003 0.00030 0.00002 0.00000 0.01805 0.00006
0.06318 0.00006 0.00024 0.00013 0.00003 0.00013 0.00059
0.00002 0.00012 0.00001 0.00008 0.00098 0.64926 0.00002
0.80398 0.00015 0.00003 0.00251 0.00001 0.00040 0.00090
0.00004 0.00025 0.00004 0.00001 0.00232 0.00000 0.52542
0.23668 0.00022 0.00001 0.00001 0.00002 0.00015 0.00031
0.00004 1.00000 0.00021 0.00026 0.00001 0.00159 0.00022
0.91423 0.00008 0.00004 0.00004 0.00000 0.00029 0.00022
0.00009 0.00000 0.00002 0.00063 0.03792 0.00001 0.54007
0.67517 0.00008 0.00004 0.00015 0.00000 0.00035 0.00125
0.00001 0.99186 0.00001 0.05304 0.00028 0.00939 0.00055
0.00044 0.00036 0.00922 0.00000 0.00005 0.00001 0.04507
0.00010 0.00016 0.00011 0.00003 0.00001 0.04654 0.00002
0.00002 0.50113 0.00001 0.00008 0.00039 0.03365 0.00026
0.00016 0.00002 0.48760 0.00000 0.00017 0.00002 0.00000
0.00052 0.00000 0.00006 0.00038 0.65422 0.00001 0.00000
0.00001 0.00000 0.00083 0.00000 0.00005 0.00615 0.00000
0.19738 0.00200 0.00003 0.00026 0.00001 0.00041 0.00050
0.88172 0.00030 0.00002 0.00092 0.00001 0.00049 0.00056
0.00006 0.00143 0.00025 0.99992 0.00012 0.00073 0.00095
0.00005 1.00000 0.00052 0.00010 0.00001 0.00099 0.00017
0.00008 0.00036 0.06034 0.00001 0.00065 0.00005 0.00004
0.00012 0.00009 0.00002 0.00013 0.00062 0.00116 0.05706
0.00021 0.00103 0.00014 0.00031 0.00073 0.00014 0.00042
0.89478 0.00005 0.00001 0.00029 0.00001 0.00090 0.00045
0.00138 0.00000 0.00005 0.00027 0.98549 0.00000 0.00000
0.00019 0.00000 0.00002 0.00007 0.97189 0.00001 0.00019
0.00003 0.00002 0.00050 0.00000 0.00077 0.00007 0.00106
0.00006 0.00012 0.00029 0.00010 0.00141 0.00000 0.66194
0.81298 0.00005 0.00002 0.00078 0.00001 0.00022 0.00065
0.00085 0.00053 0.00023 0.00004 0.00006 0.00001 0.94346
0.28327 0.00040 0.00024 0.00008 0.00007 0.00081 0.00021
0.00139 0.00000 0.00006 0.00035 0.99159 0.00000 0.00000
0.00005 0.00009 0.00276 0.00001 0.00022 0.00011 0.00100
0.14633 0.00045 0.00028 0.00117 0.00003 0.00037 0.00028
0.00021 0.00103 0.00014 0.00031 0.00073 0.00014 0.00042
0.00009 0.00017 0.00917 0.00000 0.00019 0.00114 0.00002
0.00027 0.00003 0.00003 0.00705 0.00012 0.00006 0.00472
0.51327 0.00003 0.00002 0.00083 0.00001 0.00037 0.00028
0.11556 0.00013 0.00003 0.01032 0.00002 0.00020 0.00619
0.00138 0.00000 0.00006 0.00034 0.99140 0.00000 0.00000
0.00136 0.00000 0.00005 0.00032 0.99024 0.00000 0.00000
0.00001 1.00000 0.00008 0.00003 0.00001 0.00063 0.00032
0.00007 0.00001 0.00004 0.00000 0.00062 0.00000 0.71685
0.00014 0.00033 0.00015 0.00002 0.00715 0.01159 0.00125
0.00003 0.00017 0.00004 0.00005 0.00197 0.50329 0.00001
