# Country Folk Indie Jazz Metal Pop Rock
0.95690 0.00014 0.00164 0.00010 0.00000 0.00005 0.04117
0.00024 0.00030 0.00177 0.00055 0.00092 0.00074 0.99548
0.00373 0.00386 0.03415 0.00128 0.00048 0.02384 0.93266
0.00001 0.00001 0.00061 0.00054 0.00006 0.00078 0.99798
0.00001 0.00133 0.00274 0.00006 0.00053 0.00288 0.99246
0.00003 0.00023 0.01065 0.00059 0.00321 0.95475 0.03053
0.00166 0.00003 0.00313 0.00672 0.00008 0.98450 0.00389
0.00490 0.00126 0.90889 0.00069 0.00655 0.03346 0.04426
0.07351 0.00023 0.00344 0.02081 0.00030 0.81289 0.08881
0.00000 0.00000 0.99996 0.00000 0.00000 0.00002 0.00002
0.00095 0.01032 0.16384 0.00146 0.00501 0.01963 0.79881
0.99813 0.00000 0.00012 0.00141 0.00000 0.00008 0.00026
0.00083 0.00010 0.98139 0.00080 0.00003 0.01144 0.00540
0.00000 0.00001 0.00002 0.00001 0.00107 0.00001 0.99888
0.00073 0.00006 0.00299 0.00025 0.00003 0.00646 0.98948
0.00783 0.00003 0.00009 0.98588 0.00000 0.00274 0.00343
0.00028 0.00007 0.03284 0.00336 0.00447 0.05956 0.89943
0.96924 0.00002 0.00015 0.03002 0.00000 0.00003 0.00055
0.00193 0.00000 0.00000 0.99798 0.00000 0.00004 0.00004
0.00012 0.00013 0.99370 0.00000 0.00003 0.00360 0.00242
0.05028 0.35323 0.07527 0.10492 0.22137 0.06796 0.12696
0.00004 0.00001 0.98579 0.00000 0.00006 0.00152 0.01258
0.00001 0.00001 0.99871 0.00000 0.00000 0.00002 0.00125
0.00000 0.00010 0.00000 0.00000 0.99981 0.00000 0.00009
0.00000 0.00153 0.00008 0.00000 0.99838 0.00000 0.00001
0.14921 0.00021 0.03206 0.02187 0.00060 0.04268 0.75337
0.99969 0.00000 0.00008 0.00015 0.00000 0.00000 0.00009
0.00021 0.98050 0.00001 0.00058 0.01407 0.00462 0.00002
0.00000 0.00010 0.00025 0.00003 0.00005 0.99805 0.00151
0.00142 0.97424 0.00879 0.00393 0.00002 0.01013 0.00147
0.00001 0.00000 0.00085 0.00003 0.00002 0.99890 0.00019
0.97985 0.00002 0.00000 0.01960 0.00000 0.00002 0.00051
0.01553 0.00002 0.00010 0.00605 0.00001 0.00284 0.97546
0.03794 0.01360 0.02792 0.15032 0.00126 0.03572 0.73323
0.00006 0.00019 0.00007 0.00026 0.97649 0.00118 0.02174
0.99885 0.00000 0.00001 0.00112 0.00000 0.00000 0.00001
0.04199 0.00003 0.00017 0.95388 0.00000 0.00309 0.00084
0.98328 0.00078 0.00006 0.01546 0.00000 0.00014 0.00029
0.05028 0.35323 0.07527 0.10492 0.22137 0.06796 0.12696
0.00000 0.00000 0.00004 0.00000 0.00022 0.00000 0.99974
1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
0.00231 0.00150 0.01030 0.07317 0.00005 0.00753 0.90514
0.99968 0.00001 0.00000 0.00009 0.00000 0.00000 0.00023
0.99131 0.00026 0.00026 0.00078 0.00000 0.00382 0.00357
0.00001 0.00000 0.00000 0.99996 0.00000 0.00000 0.00003
0.00162 0.00202 0.04919 0.01162 0.00845 0.10610 0.82100
0.00465 0.00014 0.00001 0.99392 0.00000 0.00076 0.00051
0.00003 0.00008 0.99592 0.00000 0.00001 0.00138 0.00258
0.01970 0.00033 0.00098 0.92379 0.00007 0.01293 0.04220
0.86466 0.00008 0.00052 0.10752 0.00000 0.00054 0.02669
0.00042 0.01233 0.00465 0.00153 0.00016 0.97974 0.00117
0.00041 0.00105 0.01290 0.00103 0.00324 0.97834 0.00303
0.99137 0.00022 0.00584 0.00031 0.00000 0.00016 0.00210
0.00001 0.00000 0.00000 0.99994 0.00000 0.00002 0.00004
0.98721 0.00036 0.00063 0.00688 0.00000 0.00009 0.00484
0.99944 0.00000 0.00000 0.00053 0.00000 0.00000 0.00003
0.00014 0.99925 0.00000 0.00061 0.00000 0.00000 0.00000
0.99937 0.00003 0.00010 0.00003 0.00000 0.00002 0.00045
0.00000 0.81694 0.01566 0.00001 0.14978 0.01500 0.00262
0.00000 0.00000 0.00000 0.00000 1.00000 0.00000 0.00000
0.00263 0.00001 0.00000 0.99727 0.00000 0.00004 0.00005
0.00055 0.00191 0.00448 0.00145 0.00073 0.98769 0.00318
0.13721 0.00004 0.00003 0.86257 0.00000 0.00007 0.00009
0.00058 0.00023 0.01467 0.00037 0.00040 0.97102 0.01272
0.00078 0.00000 0.00062 0.99686 0.00002 0.00074 0.00098
0.06407 0.21681 0.06902 0.18791 0.10997 0.23465 0.11757
0.10888 0.00124 0.00210 0.87056 0.00008 0.00657 0.01057
0.14070 0.00047 0.00363 0.83260 0.00007 0.01288 0.00965
0.00026 0.99575 0.00013 0.00040 0.00111 0.00046 0.00189
0.08412 0.05418 0.15703 0.06502 0.09249 0.31672 0.23045
0.01216 0.00009 0.00235 0.00035 0.00006 0.01252 0.97248
0.00000 0.00001 0.00016 0.00008 0.00002 0.99973 0.00000
0.00010 0.94093 0.04621 0.00305 0.00109 0.00635 0.00227
0.98907 0.00008 0.00016 0.00463 0.00000 0.00081 0.00524
0.02021 0.00411 0.00621 0.00999 0.06011 0.00617 0.89320
0.00053 0.00902 0.03132 0.00757 0.82572 0.06652 0.05933
0.00001 0.00000 0.00000 0.99871 0.00000 0.00008 0.00119
0.05028 0.35323 0.07527 0.10492 0.22137 0.06796 0.12696
0.00561 0.96742 0.00022 0.01953 0.00001 0.00490 0.00231
0.05028 0.35323 0.07527 0.10492 0.22137 0.06796 0.12696
0.00246 0.00043 0.00206 0.00104 0.00009 0.00072 0.99319
